;zones;15;20;25;30;35;40;45;50
0;5;284;322;328;339;386;389;400;401
0;10;284;322;328;339;386;389;400;401
0;20;284;322;328;339;386;389;400;401
0;30;299;331;331;364;391;400;406;406
0;40;306;331;354;370;391;401;406;406
0;50;314;330;353;369;387;393;404;405
0;60;323;353;375;392;410;416;427;428
0;70;325;368;374;391;409;415;427;427
0;80;311;353;367;383;401;407;418;419
0;90;328;359;375;392;416;422;434;434
0;100;348;375;381;391;416;423;428;434
0;110;284;339;339;372;396;402;413;414
0;120;323;352;358;384;415;421;433;433
