;zones;15;20;25;30;35;40;45;50
0;5;1.4970877869546582e-09;8.802890476405163e-10;7.92895676114653e-09;1.1372106489202707e-08;1.3006483861103529e-08;2.387923157686355e-08;5.6166702550361564e-08;1.3213000748593884e-07
0;10;1.4970877869546582e-09;8.802890476405163e-10;7.92895676114653e-09;1.1372106489202707e-08;1.3006483861103529e-08;2.387923157686355e-08;5.6166702550361564e-08;1.3213000748593884e-07
0;20;1.4970877869546582e-09;8.802890476405163e-10;7.92895676114653e-09;1.1372106489202707e-08;1.3006483861103529e-08;2.387923157686355e-08;5.6166702550361564e-08;1.3213000748593884e-07
0;30;4.962391290077088e-09;2.1042458439869135e-09;3.370376295056377e-10;1.1478548619251467e-09;1.2892173785134848e-09;3.891137297647141e-09;4.911396722583058e-09;7.1459569925836255e-09
0;40;1.6407961940127102e-09;4.3334224976328586e-09;7.446993343533267e-10;6.054407367095038e-09;6.9398492515550015e-09;6.709058336116475e-09;3.856725785804647e-08;8.54892985029269e-08
0;50;7.204533632398588e-11;2.778948747688142e-10;3.022555816649873e-10;5.250798142126663e-10;9.416780138213743e-10;3.5434132568624215e-09;1.1772649811831038e-08;1.9145909165321276e-08
0;60;2.972225952420814e-10;1.2897315035816525e-09;2.3248065594919438e-10;4.1119690852393e-10;4.366744910599617e-10;2.2311543803842624e-09;6.104204618490383e-09;1.2181747093772559e-09
0;70;5.096763583681826e-10;2.985654925993155e-09;2.150006547290458e-10;9.202322231513671e-10;2.6375869318364323e-09;3.6905258511149237e-09;7.304504736251708e-09;1.6874066339396643e-08
0;80;1.1153943625399508e-10;4.910899941110853e-10;4.984740978155556e-11;4.927947048470793e-10;2.0029846768548064e-09;3.846572793060519e-09;1.3448575056073466e-08;2.7701605396799826e-08
0;90;1.5395058978022937e-10;9.629335569897871e-12;2.321392804941647e-11;1.578527687381805e-10;1.2839805648157921e-09;9.002878026868051e-10;1.1020280582530767e-09;2.8717529901653373e-09
0;100;9.990112258043672e-10;4.0869783886812833e-10;3.7552888461859575e-10;9.915095874003587e-10;1.91032894872008e-09;1.769700357254753e-09;4.802486614025234e-10;5.641573415524102e-09
0;110;3.670284093027497e-10;1.0945263059056233e-09;2.890767914104439e-10;2.5197467174925277e-09;2.5745861759638957e-09;2.5301369144570028e-09;3.770114409499175e-09;5.309511338867259e-09
0;120;5.069000218292967e-10;2.9470600458972553e-09;2.3265872971853355e-10;1.8739952624531087e-09;4.319689547738734e-09;6.8309221791552844e-09;1.215276388086528e-08;4.29991986926882e-08
