;zones;15;20;25;30;35;40;45;50
0;5;1.3093095505353565e-07;1.3981814899664977e-07;2.2876403511409716e-07;3.113282500200355e-07;3.453791903075436e-07;2.4066167600740103e-07;8.587752648872471e-08;2.3548787574985393e-08
0;10;1.3093095505353565e-07;1.3981814899664922e-07;2.2876403511409716e-07;3.113282500200355e-07;3.453791903075436e-07;2.4066167600740103e-07;8.587752648872471e-08;2.3548787574985393e-08
0;20;1.3093095505353565e-07;1.3981814899664922e-07;2.2876403511409716e-07;3.113282500200355e-07;3.453791903075436e-07;2.4066167600740103e-07;8.587752648872471e-08;2.3548787574985393e-08
0;30;9.489311597718836e-08;1.3713621433246747e-07;1.5360731193834265e-07;4.284358637057677e-07;4.3128549067402736e-07;1.5342239269159107e-07;2.3017982221015414e-07;2.0571967352823762e-07
0;40;7.450639439060259e-08;5.173230199555533e-08;9.803207416374905e-08;2.2551068510237882e-07;1.1655721486240667e-07;4.7831718569591955e-08;4.21850522775612e-08;6.074450516937717e-08
0;50;1.1812919851630401e-07;6.469296281454985e-08;1.3733566325283529e-07;1.5004835183139108e-07;1.0013718348527885e-07;9.575367991752365e-08;1.1076313820906056e-07;3.7586979862691973e-08
0;60;6.090428516696227e-08;8.256645614518547e-08;1.5390210890637223e-07;1.4961026856080126e-07;2.3420896332728752e-07;1.023627657623698e-07;1.5670428995314748e-07;4.7118740026687014e-08
0;70;7.454965896003178e-08;5.077217569320697e-08;1.1834608207613365e-07;7.182014123022625e-08;7.353652970666273e-08;4.267352841819535e-08;7.200056599125903e-08;7.796360002097782e-08
0;80;2.1930859783093044e-07;1.052199934979025e-07;1.2583314940966375e-08;1.3191636353411192e-07;4.324357741980626e-07;7.43181041879317e-08;2.3460888095870553e-07;2.3116622723735133e-07
0;90;1.014475710651154e-07;9.799245834419004e-08;1.336318309171969e-07;2.529093345187975e-07;1.207243199352339e-07;4.433823516753158e-08;1.0718059182067047e-07;9.7142378716304e-08
0;100;7.170610626354479e-08;9.713090794843304e-08;1.7495177582076383e-07;2.511799858818154e-07;1.6973820267106797e-07;6.302500289778388e-08;4.749145911468593e-08;4.68765980047548e-08
0;110;2.3559295665378377e-07;9.417331880566171e-08;1.0994246476222525e-07;2.9434969753419133e-07;2.801235223160312e-07;2.2043953655999412e-07;2.0943758359991937e-07;1.1158975858428046e-07
0;120;2.809139740821559e-07;8.320025184097155e-08;1.0826590732325476e-07;9.401165270817691e-08;2.033679403078198e-07;7.35987173066457e-08;1.0363903595795369e-07;5.135092697494926e-07
