                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.410
Model:           ,OLS             ,  Adj. R-squared:    ,   0.079
Method:          ,Least Squares   ,  F-statistic:       ,   1.238
Date:            ,Thu, 23 Apr 2026,  Prob (F-statistic):, 0.225  
Time:            ,11:07:27        ,  Log-Likelihood:    , -173.48
No. Observations:,   101          ,  AIC:               ,   421.0
Df Residuals:    ,    64          ,  BIC:               ,   517.7
Df Model:        ,    36          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,   10.5547,    6.319,    1.670, 0.100,   -2.069,   23.179
SPI3_max      ,    7.0712,    6.539,    1.081, 0.284,   -5.991,   20.133
SPI6_max      ,  -52.7865,   21.374,   -2.470, 0.016,  -95.486,  -10.087
SPI12_max     ,    0.8214,    3.733,    0.220, 0.827,   -6.635,    8.278
SPEI1_max     ,  -40.1294,   19.474,   -2.061, 0.043,  -79.034,   -1.225
SPEI3_max     ,   -2.1039,    8.210,   -0.256, 0.799,  -18.504,   14.297
SPEI6_max     ,   58.2308,   22.907,    2.542, 0.013,   12.469,  103.992
SPEI12_max    ,  -18.1144,   10.783,   -1.680, 0.098,  -39.655,    3.426
SPI1_median   ,   12.0015,    5.634,    2.130, 0.037,    0.745,   23.258
SPI3_median   ,  -18.4002,    9.752,   -1.887, 0.064,  -37.882,    1.082
SPI6_median   ,   -1.3023,    1.109,   -1.174, 0.245,   -3.518,    0.913
SPI12_median  ,   -2.1725,    1.711,   -1.269, 0.209,   -5.591,    1.246
SPEI1_median  ,  -46.4345,   19.225,   -2.415, 0.019,  -84.840,   -8.029
SPEI3_median  ,   53.4822,   25.161,    2.126, 0.037,    3.217,  103.747
SPEI6_median  ,    9.6508,    6.048,    1.596, 0.116,   -2.432,   21.734
SPEI12_median ,   22.7066,   11.305,    2.009, 0.049,    0.123,   45.290
SPI1_min      ,  -20.7139,    8.126,   -2.549, 0.013,  -36.946,   -4.481
SPI3_min      ,  -64.3832,   24.320,   -2.647, 0.010, -112.969,  -15.798
SPI6_min      ,   56.5558,   23.914,    2.365, 0.021,    8.781,  104.330
SPI12_min     ,   -1.1193,    4.195,   -0.267, 0.790,   -9.499,    7.260
SPEI1_min     ,   64.8889,   24.953,    2.600, 0.012,   15.040,  114.738
SPEI3_min     ,   59.3358,   25.972,    2.285, 0.026,    7.450,  111.221
SPEI6_min     ,  -65.9063,   29.669,   -2.221, 0.030, -125.176,   -6.636
SPEI12_min    ,  -15.5923,    9.048,   -1.723, 0.090,  -33.667,    2.482
SPI1_std      ,  -49.1990,   20.459,   -2.405, 0.019,  -90.071,   -8.327
SPI3_std      , -111.1884,   41.823,   -2.659, 0.010, -194.740,  -27.637
SPI6_std      ,   84.3254,   36.498,    2.310, 0.024,   11.412,  157.238
SPI12_std     ,   16.8334,   10.602,    1.588, 0.117,   -4.347,   38.014
SPEI1_std     ,  114.0067,   47.199,    2.415, 0.019,   19.715,  208.298
SPEI3_std     ,   89.7424,   41.997,    2.137, 0.036,    5.844,  173.640
SPEI6_std     , -103.9324,   49.147,   -2.115, 0.038, -202.115,   -5.750
SPEI12_std    ,   -5.0674,    9.654,   -0.525, 0.601,  -24.352,   14.218
VICI_veg_max  ,    1.5866,    1.020,    1.556, 0.125,   -0.450,    3.624
VICI_veg_mean ,    1.0683,    0.908,    1.176, 0.244,   -0.746,    2.883
VICI_veg_min  ,-9.982e-14,  4.7e-14,   -2.124, 0.038,-1.94e-13,-5.93e-15
VICI_veg_std  ,   -3.4190,    2.298,   -1.488, 0.142,   -8.011,    1.172
VICI_veg_count,   -8.0120,    5.453,   -1.469, 0.147,  -18.905,    2.881
VICI_mat_max  ,   -0.1441,    0.132,   -1.090, 0.280,   -0.408,    0.120
VICI_mat_mean ,   -0.0619,    0.057,   -1.090, 0.280,   -0.175,    0.052
VICI_mat_min  ,         0,        0,      nan,   nan,        0,        0
VICI_mat_std  ,   -0.0643,    0.059,   -1.090, 0.280,   -0.182,    0.054
VICI_mat_count,   -0.0173,    0.016,   -1.090, 0.280,   -0.049,    0.014
Omnibus:      ,18.830,  Durbin-Watson:     ,   2.073
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  ,  73.206
Skew:         , 0.392,  Prob(JB):          ,1.27e-16
Kurtosis:     , 7.097,  Cond. No.          ,1.42e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 6.2e-28. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
