                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.600
Model:           ,OLS             ,  Adj. R-squared:    ,   0.300
Method:          ,Least Squares   ,  F-statistic:       ,   2.001
Date:            ,Thu, 23 Apr 2026,  Prob (F-statistic):,0.0160  
Time:            ,11:20:59        ,  Log-Likelihood:    , -115.34
No. Observations:,    78          ,  AIC:               ,   298.7
Df Residuals:    ,    44          ,  BIC:               ,   378.8
Df Model:        ,    33          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,   -1.2849,    2.528,   -0.508, 0.614,   -6.380,    3.810
SPI3_max      ,    5.6204,    9.707,    0.579, 0.566,  -13.943,   25.184
SPI6_max      ,   -8.1592,    7.885,   -1.035, 0.306,  -24.050,    7.732
SPI12_max     ,    7.2058,    5.081,    1.418, 0.163,   -3.034,   17.446
SPEI1_max     ,    5.8638,    5.645,    1.039, 0.305,   -5.512,   17.240
SPEI3_max     ,  -10.5949,   18.720,   -0.566, 0.574,  -48.323,   27.134
SPEI6_max     ,   -0.4629,    7.770,   -0.060, 0.953,  -16.122,   15.196
SPEI12_max    ,  -14.0463,    6.011,   -2.337, 0.024,  -26.161,   -1.932
SPI1_median   ,   -4.8976,   11.933,   -0.410, 0.683,  -28.948,   19.153
SPI3_median   ,   -4.2868,   14.956,   -0.287, 0.776,  -34.428,   25.855
SPI6_median   ,    1.9886,    6.817,    0.292, 0.772,  -11.750,   15.728
SPI12_median  ,    0.9893,    7.499,    0.132, 0.896,  -14.124,   16.103
SPEI1_median  ,   -1.9773,   10.229,   -0.193, 0.848,  -22.593,   18.638
SPEI3_median  ,   11.5650,   14.210,    0.814, 0.420,  -17.074,   40.204
SPEI6_median  ,    0.1940,    8.930,    0.022, 0.983,  -17.803,   18.191
SPEI12_median ,   -1.3776,    7.732,   -0.178, 0.859,  -16.961,   14.205
SPI1_min      ,   -1.5568,    3.074,   -0.506, 0.615,   -7.752,    4.638
SPI3_min      ,    2.3699,    3.131,    0.757, 0.453,   -3.940,    8.680
SPI6_min      ,   -1.0773,    4.695,   -0.229, 0.820,  -10.539,    8.384
SPI12_min     ,   -0.8941,    3.494,   -0.256, 0.799,   -7.936,    6.148
SPEI1_min     ,    1.6957,    4.478,    0.379, 0.707,   -7.329,   10.720
SPEI3_min     ,    2.0193,    3.993,    0.506, 0.616,   -6.027,   10.066
SPEI6_min     ,   -4.8809,    6.471,   -0.754, 0.455,  -17.922,    8.160
SPEI12_min    ,    1.7010,    4.921,    0.346, 0.731,   -8.217,   11.619
SPI1_std      ,   -5.0865,    8.896,   -0.572, 0.570,  -23.015,   12.842
SPI3_std      ,    3.8004,    8.947,    0.425, 0.673,  -14.232,   21.833
SPI6_std      ,    2.3668,   12.969,    0.183, 0.856,  -23.770,   28.503
SPI12_std     ,   -0.0349,   11.579,   -0.003, 0.998,  -23.370,   23.300
SPEI1_std     ,    3.2166,    7.725,    0.416, 0.679,  -12.353,   18.786
SPEI3_std     ,   -1.9447,    6.481,   -0.300, 0.766,  -15.006,   11.117
SPEI6_std     ,    1.4024,   10.083,    0.139, 0.890,  -18.919,   21.724
SPEI12_std    ,   -8.7531,   13.028,   -0.672, 0.505,  -35.009,   17.503
VICI_veg_max  ,   -0.0124,    0.162,   -0.076, 0.939,   -0.339,    0.314
VICI_veg_mean ,    0.0083,    0.036,    0.232, 0.818,   -0.064,    0.080
VICI_veg_min  ,   -0.0090,    0.182,   -0.050, 0.961,   -0.376,    0.358
VICI_veg_std  ,   -0.0158,    0.304,   -0.052, 0.959,   -0.629,    0.597
VICI_veg_count,    0.0784,    0.544,    0.144, 0.886,   -1.018,    1.175
VICI_mat_max  ,   -0.0451,    1.454,   -0.031, 0.975,   -2.976,    2.886
VICI_mat_mean ,   -0.2634,    4.630,   -0.057, 0.955,   -9.594,    9.067
VICI_mat_min  ,         0,        0,      nan,   nan,        0,        0
VICI_mat_std  ,    0.1992,    4.855,    0.041, 0.967,   -9.585,    9.983
VICI_mat_count,    0.2767,    5.689,    0.049, 0.961,  -11.188,   11.741
Omnibus:      ,11.102,  Durbin-Watson:     ,   2.164
Prob(Omnibus):, 0.004,  Jarque-Bera (JB):  ,  28.704
Skew:         , 0.226,  Prob(JB):          ,5.85e-07
Kurtosis:     , 5.937,  Cond. No.          ,1.40e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 2.62e-27. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
