                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.601
Model:           ,OLS             ,  Adj. R-squared:    ,   0.331
Method:          ,Least Squares   ,  F-statistic:       ,   2.230
Date:            ,Thu, 23 Apr 2026,  Prob (F-statistic):,0.00661 
Time:            ,11:23:35        ,  Log-Likelihood:    , -115.30
No. Observations:,    78          ,  AIC:               ,   294.6
Df Residuals:    ,    46          ,  BIC:               ,   370.0
Df Model:        ,    31          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,   -1.1343,    2.453,   -0.462, 0.646,   -6.072,    3.803
SPI3_max      ,    4.4055,    5.542,    0.795, 0.431,   -6.750,   15.561
SPI6_max      ,   -7.1240,    5.029,   -1.417, 0.163,  -17.246,    2.998
SPI12_max     ,    7.4875,    4.106,    1.824, 0.075,   -0.777,   15.752
SPEI1_max     ,    5.8437,    3.623,    1.613, 0.114,   -1.449,   13.136
SPEI3_max     ,   -8.2438,   11.979,   -0.688, 0.495,  -32.355,   15.868
SPEI6_max     ,   -2.3818,    6.371,   -0.374, 0.710,  -15.207,   10.443
SPEI12_max    ,  -13.2295,    4.913,   -2.693, 0.010,  -23.119,   -3.340
SPI1_median   ,   -3.8952,    9.115,   -0.427, 0.671,  -22.242,   14.452
SPI3_median   ,   -5.3663,    9.276,   -0.579, 0.566,  -24.038,   13.305
SPI6_median   ,    1.5765,    4.723,    0.334, 0.740,   -7.930,   11.083
SPI12_median  ,    1.0245,    7.445,    0.138, 0.891,  -13.961,   16.010
SPEI1_median  ,   -2.6510,    8.578,   -0.309, 0.759,  -19.918,   14.616
SPEI3_median  ,   12.3366,    9.190,    1.342, 0.186,   -6.162,   30.835
SPEI6_median  ,    0.5186,    4.623,    0.112, 0.911,   -8.786,    9.823
SPEI12_median ,   -0.8401,    7.485,   -0.112, 0.911,  -15.906,   14.225
SPI1_min      ,   -1.4844,    2.011,   -0.738, 0.464,   -5.532,    2.563
SPI3_min      ,    2.1706,    2.718,    0.798, 0.429,   -3.301,    7.642
SPI6_min      ,   -1.7597,    3.615,   -0.487, 0.629,   -9.036,    5.517
SPI12_min     ,   -1.6155,    3.322,   -0.486, 0.629,   -8.303,    5.072
SPEI1_min     ,    1.4827,    3.906,    0.380, 0.706,   -6.380,    9.346
SPEI3_min     ,    1.7514,    3.630,    0.482, 0.632,   -5.555,    9.058
SPEI6_min     ,   -4.0708,    3.911,   -1.041, 0.303,  -11.942,    3.801
SPEI12_min    ,    1.8262,    4.194,    0.435, 0.665,   -6.616,   10.269
SPI1_std      ,   -4.6961,    5.799,   -0.810, 0.422,  -16.368,    6.976
SPI3_std      ,    3.2030,    7.674,    0.417, 0.678,  -12.245,   18.651
SPI6_std      ,    0.3154,    9.084,    0.035, 0.972,  -17.969,   18.600
SPI12_std     ,   -1.4881,    9.387,   -0.159, 0.875,  -20.383,   17.406
SPEI1_std     ,    2.4536,    6.150,    0.399, 0.692,   -9.925,   14.833
SPEI3_std     ,   -1.1847,    4.094,   -0.289, 0.774,   -9.425,    7.056
SPEI6_std     ,    0.8214,    6.272,    0.131, 0.896,  -11.803,   13.446
SPEI12_std    ,   -8.3084,    8.409,   -0.988, 0.328,  -25.234,    8.618
VICI_veg_max  ,   -0.0160,    0.111,   -0.144, 0.886,   -0.240,    0.208
VICI_veg_mean ,    0.0250,    0.038,    0.658, 0.514,   -0.052,    0.102
VICI_veg_min  ,   -0.0072,    0.103,   -0.070, 0.944,   -0.214,    0.200
VICI_veg_std  ,   -0.0112,    0.229,   -0.049, 0.961,   -0.473,    0.451
VICI_veg_count,   -0.1646,    0.478,   -0.344, 0.732,   -1.127,    0.798
VICI_mat_max  ,   -0.0418,    0.159,   -0.263, 0.794,   -0.362,    0.278
VICI_mat_mean ,   -0.0046,    0.018,   -0.263, 0.794,   -0.040,    0.031
VICI_mat_min  ,         0,        0,      nan,   nan,        0,        0
VICI_mat_std  ,   -0.0139,    0.053,   -0.263, 0.794,   -0.121,    0.093
VICI_mat_count,   -0.0046,    0.017,   -0.263, 0.794,   -0.040,    0.031
Omnibus:      ,11.148,  Durbin-Watson:     ,   2.154
Prob(Omnibus):, 0.004,  Jarque-Bera (JB):  ,  28.983
Skew:         , 0.226,  Prob(JB):          ,5.09e-07
Kurtosis:     , 5.952,  Cond. No.          ,1.36e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 2.3e-27. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
