                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.357
Model:           ,OLS             ,  Adj. R-squared:    ,  -0.005
Method:          ,Least Squares   ,  F-statistic:       ,  0.9855
Date:            ,Thu, 23 Apr 2026,  Prob (F-statistic):, 0.509  
Time:            ,11:55:56        ,  Log-Likelihood:    , -159.37
No. Observations:,   101          ,  AIC:               ,   392.7
Df Residuals:    ,    64          ,  BIC:               ,   489.5
Df Model:        ,    36          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,   -1.2730,    2.475,   -0.514, 0.609,   -6.217,    3.671
SPI3_max      ,   -1.0151,   11.886,   -0.085, 0.932,  -24.760,   22.730
SPI6_max      ,    4.1459,   18.851,    0.220, 0.827,  -33.513,   41.805
SPI12_max     ,    0.6111,    7.828,    0.078, 0.938,  -15.026,   16.248
SPEI1_max     ,   -4.8702,   14.280,   -0.341, 0.734,  -33.398,   23.658
SPEI3_max     ,    1.7734,    8.720,    0.203, 0.839,  -15.646,   19.193
SPEI6_max     ,    6.7408,    7.440,    0.906, 0.368,   -8.123,   21.605
SPEI12_max    ,    8.1772,   21.671,    0.377, 0.707,  -35.116,   51.471
SPI1_median   ,    5.1114,   10.132,    0.504, 0.616,  -15.131,   25.353
SPI3_median   ,    6.6046,    4.021,    1.643, 0.105,   -1.428,   14.637
SPI6_median   ,   -1.1670,    1.845,   -0.633, 0.529,   -4.853,    2.519
SPI12_median  ,    1.9935,    1.763,    1.131, 0.262,   -1.528,    5.515
SPEI1_median  ,   -1.5895,    5.258,   -0.302, 0.763,  -12.094,    8.915
SPEI3_median  ,  -10.7618,   16.647,   -0.646, 0.520,  -44.019,   22.495
SPEI6_median  ,   -1.2600,   10.113,   -0.125, 0.901,  -21.462,   18.942
SPEI12_median ,  -12.9176,   21.094,   -0.612, 0.542,  -55.057,   29.222
SPI1_min      ,    0.3642,    4.608,    0.079, 0.937,   -8.842,    9.571
SPI3_min      ,    3.0101,    4.655,    0.647, 0.520,   -6.290,   12.310
SPI6_min      ,   -5.7767,   14.175,   -0.408, 0.685,  -34.095,   22.541
SPI12_min     ,   -1.8036,    4.016,   -0.449, 0.655,   -9.826,    6.219
SPEI1_min     ,   -0.9587,   14.109,   -0.068, 0.946,  -29.145,   27.227
SPEI3_min     ,    0.7826,   13.618,    0.057, 0.954,  -26.422,   27.987
SPEI6_min     ,    3.4492,    7.931,    0.435, 0.665,  -12.395,   19.294
SPEI12_min    ,    0.5318,    7.716,    0.069, 0.945,  -14.883,   15.946
SPI1_std      ,   -0.5823,   12.655,   -0.046, 0.963,  -25.864,   24.700
SPI3_std      ,    6.5569,    9.790,    0.670, 0.505,  -13.001,   26.115
SPI6_std      ,  -11.6288,   38.929,   -0.299, 0.766,  -89.397,   66.140
SPI12_std     ,   -4.9013,    9.198,   -0.533, 0.596,  -23.276,   13.474
SPEI1_std     ,    8.0013,   35.531,    0.225, 0.823,  -62.981,   78.983
SPEI3_std     ,   -2.7494,   19.937,   -0.138, 0.891,  -42.578,   37.079
SPEI6_std     ,   -2.0409,   15.581,   -0.131, 0.896,  -33.168,   29.087
SPEI12_std    ,    0.7779,   18.055,    0.043, 0.966,  -35.291,   36.847
VICI_veg_max  ,   -0.6851,    1.920,   -0.357, 0.722,   -4.521,    3.150
VICI_veg_mean ,   -0.7257,    2.064,   -0.352, 0.726,   -4.848,    3.397
VICI_veg_min  ,-2.913e-15, 1.35e-14,   -0.216, 0.829,-2.98e-14,  2.4e-14
VICI_veg_std  ,    2.1771,    6.058,    0.359, 0.720,   -9.925,   14.279
VICI_veg_count,   -0.5655,    1.629,   -0.347, 0.730,   -3.820,    2.689
VICI_mat_max  ,    0.3322,    0.444,    0.748, 0.457,   -0.555,    1.219
VICI_mat_mean ,   -0.0736,    0.516,   -0.142, 0.887,   -1.105,    0.958
VICI_mat_min  ,         0,        0,      nan,   nan,        0,        0
VICI_mat_std  ,   -0.9444,    1.250,   -0.756, 0.453,   -3.441,    1.552
VICI_mat_count,    1.9945,    2.669,    0.747, 0.458,   -3.337,    7.326
Omnibus:      ,24.871,  Durbin-Watson:     ,   2.425
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  ,  54.897
Skew:         ,-0.910,  Prob(JB):          ,1.20e-12
Kurtosis:     , 6.120,  Cond. No.          ,1.18e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 8.63e-28. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
