                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.382
Model:           ,OLS             ,  Adj. R-squared:    ,   0.004
Method:          ,Least Squares   ,  F-statistic:       ,   1.011
Date:            ,Thu, 23 Apr 2026,  Prob (F-statistic):, 0.476  
Time:            ,11:56:20        ,  Log-Likelihood:    , -157.30
No. Observations:,   101          ,  AIC:               ,   392.6
Df Residuals:    ,    62          ,  BIC:               ,   494.6
Df Model:        ,    38          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,   -0.0037,    3.388,   -0.001, 0.999,   -6.777,    6.769
SPI3_max      ,  -14.2478,   12.364,   -1.152, 0.254,  -38.963,   10.467
SPI6_max      ,   10.2474,   23.806,    0.430, 0.668,  -37.340,   57.835
SPI12_max     ,    5.7890,    8.623,    0.671, 0.504,  -11.448,   23.026
SPEI1_max     ,    3.7408,    7.878,    0.475, 0.637,  -12.008,   19.489
SPEI3_max     ,   35.7387,   49.852,    0.717, 0.476,  -63.914,  135.391
SPEI6_max     ,  -43.8653,   75.990,   -0.577, 0.566, -195.767,  108.037
SPEI12_max    ,  -29.5615,   51.675,   -0.572, 0.569, -132.859,   73.736
SPI1_median   ,    5.1352,   11.229,    0.457, 0.649,  -17.312,   27.583
SPI3_median   ,    0.2713,    7.809,    0.035, 0.972,  -15.339,   15.881
SPI6_median   ,    2.2688,    5.510,    0.412, 0.682,   -8.747,   13.284
SPI12_median  ,    0.9329,    1.207,    0.773, 0.443,   -1.480,    3.346
SPEI1_median  ,   -2.2378,    7.993,   -0.280, 0.780,  -18.216,   13.741
SPEI3_median  ,  -24.8591,   37.640,   -0.660, 0.511, -100.101,   50.383
SPEI6_median  ,   -6.8096,    4.694,   -1.451, 0.152,  -16.192,    2.573
SPEI12_median ,   -6.3382,   11.663,   -0.543, 0.589,  -29.651,   16.975
SPI1_min      ,   -0.0884,    5.282,   -0.017, 0.987,  -10.647,   10.470
SPI3_min      ,   11.9324,   17.531,    0.681, 0.499,  -23.111,   46.976
SPI6_min      ,  -16.8812,   30.249,   -0.558, 0.579,  -77.349,   43.587
SPI12_min     ,   -2.7607,    5.141,   -0.537, 0.593,  -13.037,    7.516
SPEI1_min     ,  -15.7377,   16.664,   -0.944, 0.349,  -49.049,   17.574
SPEI3_min     ,    5.4429,    7.450,    0.731, 0.468,   -9.449,   20.335
SPEI6_min     ,   55.0569,   89.586,    0.615, 0.541, -124.022,  234.136
SPEI12_min    ,   18.9196,   34.292,    0.552, 0.583,  -49.628,   87.467
SPI1_std      ,   -1.7573,   14.564,   -0.121, 0.904,  -30.871,   27.356
SPI3_std      ,   31.5444,   45.999,    0.686, 0.495,  -60.407,  123.496
SPI6_std      ,  -43.4446,   83.051,   -0.523, 0.603, -209.462,  122.572
SPI12_std     ,  -11.4139,   17.714,   -0.644, 0.522,  -46.823,   23.995
SPEI1_std     ,   -9.7279,   14.510,   -0.670, 0.505,  -38.734,   19.278
SPEI3_std     ,  -26.1855,   45.464,   -0.576, 0.567, -117.067,   64.696
SPEI6_std     ,   96.9253,  165.954,    0.584, 0.561, -234.811,  428.662
SPEI12_std    ,   49.6519,   86.293,    0.575, 0.567, -122.846,  222.150
VICI_veg_max  ,    0.2425,    0.321,    0.757, 0.452,   -0.398,    0.883
VICI_veg_mean ,    0.1176,    0.200,    0.590, 0.558,   -0.281,    0.517
VICI_veg_min  ,   -2.9950,    5.146,   -0.582, 0.563,  -13.281,    7.291
VICI_veg_std  ,   -0.8778,    0.881,   -0.996, 0.323,   -2.639,    0.883
VICI_veg_count,    1.1303,    0.919,    1.230, 0.223,   -0.706,    2.967
VICI_mat_max  ,    9.1751,   15.509,    0.592, 0.556,  -21.826,   40.176
VICI_mat_mean ,    2.5820,    5.371,    0.481, 0.632,   -8.155,   13.319
VICI_mat_min  ,   -5.9900,   10.292,   -0.582, 0.563,  -26.563,   14.583
VICI_mat_std  ,  -21.9253,   37.474,   -0.585, 0.561,  -96.835,   52.985
VICI_mat_count,   -7.1692,   14.872,   -0.482, 0.631,  -36.898,   22.560
Omnibus:      ,26.461,  Durbin-Watson:     ,   2.482
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  ,  63.657
Skew:         ,-0.934,  Prob(JB):          ,1.50e-14
Kurtosis:     , 6.411,  Cond. No.          ,1.20e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 1.1e-27. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
