                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.500
Model:           ,OLS             ,  Adj. R-squared:    ,   0.114
Method:          ,Least Squares   ,  F-statistic:       ,   1.296
Date:            ,Thu, 23 Apr 2026,  Prob (F-statistic):, 0.207  
Time:            ,12:26:12        ,  Log-Likelihood:    , -118.10
No. Observations:,    79          ,  AIC:               ,   306.2
Df Residuals:    ,    44          ,  BIC:               ,   389.1
Df Model:        ,    34          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,   -0.6142,    0.939,   -0.654, 0.517,   -2.507,    1.279
SPI3_max      ,   -8.8706,   10.330,   -0.859, 0.395,  -29.690,   11.949
SPI6_max      ,   -7.7562,   13.005,   -0.596, 0.554,  -33.967,   18.454
SPI12_max     ,    7.2037,   13.835,    0.521, 0.605,  -20.678,   35.086
SPEI1_max     ,   -0.5025,    4.388,   -0.114, 0.909,   -9.347,    8.342
SPEI3_max     ,   10.2895,    5.146,    1.999, 0.052,   -0.082,   20.661
SPEI6_max     ,    3.5183,    2.585,    1.361, 0.180,   -1.691,    8.728
SPEI12_max    ,    3.6166,    4.324,    0.836, 0.407,   -5.097,   12.330
SPI1_median   ,    0.7919,    8.269,    0.096, 0.924,  -15.874,   17.458
SPI3_median   ,    5.0275,    9.176,    0.548, 0.587,  -13.466,   23.521
SPI6_median   ,    4.4530,   12.400,    0.359, 0.721,  -20.537,   29.443
SPI12_median  ,   -0.9135,    1.246,   -0.733, 0.467,   -3.424,    1.597
SPEI1_median  ,   -4.7329,    5.679,   -0.833, 0.409,  -16.178,    6.712
SPEI3_median  ,   -8.1281,    8.691,   -0.935, 0.355,  -25.644,    9.388
SPEI6_median  ,    6.4128,   10.803,    0.594, 0.556,  -15.358,   28.184
SPEI12_median ,   -5.2190,   10.230,   -0.510, 0.612,  -25.837,   15.399
SPI1_min      ,   -3.4867,    2.475,   -1.409, 0.166,   -8.475,    1.501
SPI3_min      ,   -4.4961,    1.733,   -2.595, 0.013,   -7.988,   -1.004
SPI6_min      ,    2.8740,    1.708,    1.683, 0.099,   -0.568,    6.316
SPI12_min     ,   -4.1313,    3.483,   -1.186, 0.242,  -11.151,    2.888
SPEI1_min     ,   13.5268,    9.278,    1.458, 0.152,   -5.172,   32.226
SPEI3_min     ,   -1.7407,    8.822,   -0.197, 0.844,  -19.520,   16.039
SPEI6_min     ,   -6.1273,    5.505,   -1.113, 0.272,  -17.221,    4.966
SPEI12_min    ,   -2.2209,    4.024,   -0.552, 0.584,  -10.331,    5.889
SPI1_std      ,    1.5808,    4.211,    0.375, 0.709,   -6.905,   10.067
SPI3_std      ,  -17.9742,    5.356,   -3.356, 0.002,  -28.769,   -7.179
SPI6_std      ,    5.6655,    3.926,    1.443, 0.156,   -2.246,   13.577
SPI12_std     ,  -11.4250,   12.249,   -0.933, 0.356,  -36.111,   13.261
SPEI1_std     ,    0.6243,    6.810,    0.092, 0.927,  -13.101,   14.350
SPEI3_std     ,   16.3983,   20.534,    0.799, 0.429,  -24.985,   57.782
SPEI6_std     ,    1.7070,    2.825,    0.604, 0.549,   -3.986,    7.400
SPEI12_std    ,    2.0622,    6.915,    0.298, 0.767,  -11.875,   15.999
VICI_veg_max  ,    0.0825,    0.878,    0.094, 0.926,   -1.687,    1.852
VICI_veg_mean ,    0.5306,    0.924,    0.574, 0.569,   -1.333,    2.394
VICI_veg_min  ,   -0.8412,    0.720,   -1.168, 0.249,   -2.293,    0.611
VICI_veg_std  ,   -0.5574,    1.368,   -0.407, 0.686,   -3.314,    2.199
VICI_veg_count,   -1.6949,    2.332,   -0.727, 0.471,   -6.395,    3.005
VICI_mat_max  ,    0.6506,    1.401,    0.464, 0.645,   -2.173,    3.475
VICI_mat_mean ,   -0.2435,    0.686,   -0.355, 0.725,   -1.627,    1.140
VICI_mat_min  ,         0,        0,      nan,   nan,        0,        0
VICI_mat_std  ,   -1.2401,    3.879,   -0.320, 0.751,   -9.058,    6.578
VICI_mat_count,    1.5145,    5.861,    0.258, 0.797,  -10.298,   13.327
Omnibus:      ,31.080,  Durbin-Watson:     ,   2.418
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  , 148.108
Skew:         , 0.985,  Prob(JB):          ,6.90e-33
Kurtosis:     , 9.412,  Cond. No.          ,1.40e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 1.22e-27. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
