                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.659
Model:           ,OLS             ,  Adj. R-squared:    ,   0.410
Method:          ,Least Squares   ,  F-statistic:       ,   2.651
Date:            ,Thu, 23 Apr 2026,  Prob (F-statistic):,0.000912
Time:            ,11:03:36        ,  Log-Likelihood:    , -165.41
No. Observations:,    84          ,  AIC:               ,   402.8
Df Residuals:    ,    48          ,  BIC:               ,   490.3
Df Model:        ,    35          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,   -0.0719,    4.529,   -0.016, 0.987,   -9.179,    9.035
SPI3_max      ,    1.8404,   10.825,    0.170, 0.866,  -19.925,   23.606
SPI6_max      ,   -1.8814,    7.293,   -0.258, 0.798,  -16.546,   12.783
SPI12_max     ,   -4.0868,    7.923,   -0.516, 0.608,  -20.017,   11.843
SPEI1_max     ,   -6.0121,   15.818,   -0.380, 0.706,  -37.816,   25.792
SPEI3_max     ,   -0.5079,   33.262,   -0.015, 0.988,  -67.386,   66.370
SPEI6_max     ,    0.8544,    5.012,    0.170, 0.865,   -9.222,   10.931
SPEI12_max    ,    9.1761,   16.544,    0.555, 0.582,  -24.089,   42.441
SPI1_median   ,    5.6837,   36.552,    0.155, 0.877,  -67.809,   79.177
SPI3_median   ,   -0.5133,    7.725,   -0.066, 0.947,  -16.045,   15.018
SPI6_median   ,    1.9284,    3.448,    0.559, 0.579,   -5.005,    8.861
SPI12_median  ,   -0.1311,    3.181,   -0.041, 0.967,   -6.528,    6.265
SPEI1_median  ,   -6.2488,   32.953,   -0.190, 0.850,  -72.506,   60.008
SPEI3_median  ,    6.8744,   21.242,    0.324, 0.748,  -35.836,   49.585
SPEI6_median  ,  -12.3501,   39.008,   -0.317, 0.753,  -90.782,   66.082
SPEI12_median ,    0.8150,   17.806,    0.046, 0.964,  -34.986,   36.616
SPI1_min      ,   -0.2638,    5.928,   -0.045, 0.965,  -12.182,   11.655
SPI3_min      ,    0.8794,   11.977,    0.073, 0.942,  -23.202,   24.961
SPI6_min      ,    4.7555,    6.141,    0.774, 0.442,   -7.591,   17.102
SPI12_min     ,    1.6864,    9.902,    0.170, 0.865,  -18.222,   21.595
SPEI1_min     ,   10.5019,   20.120,    0.522, 0.604,  -29.952,   50.956
SPEI3_min     ,   -7.0303,   37.466,   -0.188, 0.852,  -82.361,   68.300
SPEI6_min     ,    1.4572,   12.347,    0.118, 0.907,  -23.368,   26.283
SPEI12_min    ,    0.7933,    9.662,    0.082, 0.935,  -18.634,   20.221
SPI1_std      ,   -1.8002,   17.548,   -0.103, 0.919,  -37.083,   33.483
SPI3_std      ,    8.8842,   47.318,    0.188, 0.852,  -86.255,  104.023
SPI6_std      ,    8.5201,   15.604,    0.546, 0.588,  -22.854,   39.895
SPI12_std     ,   10.3284,   21.067,    0.490, 0.626,  -32.030,   52.687
SPEI1_std     ,   23.0028,   52.078,    0.442, 0.661,  -81.707,  127.713
SPEI3_std     ,  -20.4141,  134.619,   -0.152, 0.880, -291.083,  250.255
SPEI6_std     ,    9.2753,   41.308,    0.225, 0.823,  -73.779,   92.330
SPEI12_std    ,  -17.3016,   56.842,   -0.304, 0.762, -131.591,   96.987
VICI_veg_max  ,    0.1127,    0.697,    0.162, 0.872,   -1.289,    1.514
VICI_veg_mean ,    0.0390,    0.202,    0.193, 0.848,   -0.367,    0.445
VICI_veg_min  ,    0.7258,    2.636,    0.275, 0.784,   -4.574,    6.026
VICI_veg_std  ,   -0.1457,    1.255,   -0.116, 0.908,   -2.670,    2.379
VICI_veg_count,   -0.4699,    2.658,   -0.177, 0.860,   -5.814,    4.874
VICI_mat_max  ,   -1.4893,    3.334,   -0.447, 0.657,   -8.193,    5.215
VICI_mat_mean ,    1.9050,    5.512,    0.346, 0.731,   -9.178,   12.988
VICI_mat_min  ,         0,        0,      nan,   nan,        0,        0
VICI_mat_std  ,   -0.2413,    0.585,   -0.412, 0.682,   -1.418,    0.936
VICI_mat_count,   -0.6419,    1.618,   -0.397, 0.693,   -3.895,    2.611
Omnibus:      , 7.410,  Durbin-Watson:     ,   2.196
Prob(Omnibus):, 0.025,  Jarque-Bera (JB):  ,  14.254
Skew:         , 0.035,  Prob(JB):          ,0.000803
Kurtosis:     , 5.017,  Cond. No.          ,1.28e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 1.08e-27. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
