                          OLS Regression Results                          
Dep. Variable:   ,yield           ,  R-squared (uncentered):     ,   0.696
Model:           ,OLS             ,  Adj. R-squared (uncentered):,   0.494
Method:          ,Least Squares   ,  F-statistic:                ,   3.455
Date:            ,Thu, 23 Apr 2026,  Prob (F-statistic):         ,5.39e-06
Time:            ,10:47:52        ,  Log-Likelihood:             , -216.63
No. Observations:,   103          ,  AIC:                        ,   515.3
Df Residuals:    ,    62          ,  BIC:                        ,   623.3
Df Model:        ,    41          ,                              ,        
Covariance Type: ,nonrobust       ,                              ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,    1.2508,   16.239,    0.077, 0.939,  -31.210,   33.711
SPI3_max      ,  -11.2317,   15.757,   -0.713, 0.479,  -42.729,   20.266
SPI6_max      ,   -0.7298,    7.885,   -0.093, 0.927,  -16.492,   15.032
SPI12_max     ,   -0.0600,   13.789,   -0.004, 0.997,  -27.623,   27.503
SPEI1_max     ,   -1.1159,   32.116,   -0.035, 0.972,  -65.316,   63.084
SPEI3_max     ,   -4.1339,   29.211,   -0.142, 0.888,  -62.526,   54.258
SPEI6_max     ,    0.2920,    6.557,    0.045, 0.965,  -12.816,   13.400
SPEI12_max    ,   10.0146,   29.225,    0.343, 0.733,  -48.405,   68.434
SPI1_median   ,    5.8279,   36.273,    0.161, 0.873,  -66.681,   78.337
SPI3_median   ,   -0.8292,    5.700,   -0.145, 0.885,  -12.223,   10.565
SPI6_median   ,    0.7385,    3.764,    0.196, 0.845,   -6.786,    8.263
SPI12_median  ,    0.4445,    2.642,    0.168, 0.867,   -4.836,    5.725
SPEI1_median  ,   -8.3494,   30.930,   -0.270, 0.788,  -70.178,   53.480
SPEI3_median  ,    5.2481,   13.862,    0.379, 0.706,  -22.463,   32.959
SPEI6_median  ,   -0.4707,   16.907,   -0.028, 0.978,  -34.266,   33.325
SPEI12_median ,   -5.2112,    7.207,   -0.723, 0.472,  -19.617,    9.195
SPI1_min      ,   -4.2873,    5.663,   -0.757, 0.452,  -15.608,    7.034
SPI3_min      ,    1.7429,    8.271,    0.211, 0.834,  -14.790,   18.276
SPI6_min      ,    1.9531,    5.394,    0.362, 0.719,   -8.830,   12.737
SPI12_min     ,   -0.6011,   16.679,   -0.036, 0.971,  -33.941,   32.739
SPEI1_min     ,    8.9116,   21.732,    0.410, 0.683,  -34.531,   52.354
SPEI3_min     ,    9.3473,   18.431,    0.507, 0.614,  -27.496,   46.190
SPEI6_min     ,   -0.7190,   20.723,   -0.035, 0.972,  -42.143,   40.705
SPEI12_min    ,   -3.4225,   33.701,   -0.102, 0.919,  -70.789,   63.944
SPI1_std      ,  -11.8937,   20.114,   -0.591, 0.556,  -52.102,   28.314
SPI3_std      ,    0.5588,   26.038,    0.021, 0.983,  -51.490,   52.607
SPI6_std      ,    4.8921,   14.846,    0.330, 0.743,  -24.786,   34.570
SPI12_std     ,   -0.8343,   29.095,   -0.029, 0.977,  -58.995,   57.327
SPEI1_std     ,   22.2879,   59.812,    0.373, 0.711,  -97.274,  141.850
SPEI3_std     ,   32.2468,   60.703,    0.531, 0.597,  -89.096,  153.590
SPEI6_std     ,    0.3473,   58.537,    0.006, 0.995, -116.667,  117.361
SPEI12_std    ,  -11.6212,   95.200,   -0.122, 0.903, -201.924,  178.682
VICI_veg_max  ,    0.0192,    0.161,    0.119, 0.905,   -0.302,    0.341
VICI_veg_mean ,   -0.0022,    0.234,   -0.009, 0.993,   -0.470,    0.466
VICI_veg_min  ,   -0.0535,    0.928,   -0.058, 0.954,   -1.909,    1.801
VICI_veg_std  ,    0.0299,    0.237,    0.126, 0.900,   -0.444,    0.504
VICI_veg_count,    0.2044,    2.520,    0.081, 0.936,   -4.834,    5.243
VICI_mat_max  ,   -2.9534,   21.729,   -0.136, 0.892,  -46.389,   40.482
VICI_mat_mean ,   -0.4355,    2.045,   -0.213, 0.832,   -4.524,    3.653
VICI_mat_min  ,-4.724e-15, 9.86e-15,   -0.479, 0.634,-2.44e-14,  1.5e-14
VICI_mat_std  ,    9.8248,   59.820,    0.164, 0.870, -109.753,  129.403
VICI_mat_count,   -2.4799,   10.610,   -0.234, 0.816,  -23.690,   18.730
Omnibus:      ,19.950,  Durbin-Watson:     ,   2.199
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  ,  44.842
Skew:         ,-0.695,  Prob(JB):          ,1.83e-10
Kurtosis:     , 5.919,  Cond. No.          ,1.40e+16

Notes:
[1] R² is computed without centering (uncentered) since the model does not contain a constant.
[2] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[3] The smallest eigenvalue is 1.37e-27. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
