                          OLS Regression Results                          
Dep. Variable:   ,yield           ,  R-squared (uncentered):     ,   0.704
Model:           ,OLS             ,  Adj. R-squared (uncentered):,   0.515
Method:          ,Least Squares   ,  F-statistic:                ,   3.731
Date:            ,Fri, 24 Apr 2026,  Prob (F-statistic):         ,8.78e-07
Time:            ,10:15:47        ,  Log-Likelihood:             , -160.39
No. Observations:,   108          ,  AIC:                        ,   404.8
Df Residuals:    ,    66          ,  BIC:                        ,   517.4
Df Model:        ,    42          ,                              ,        
Covariance Type: ,nonrobust       ,                              ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,   19.8811,   33.921,    0.586, 0.560,  -47.843,   87.606
SPI3_max      ,  -54.3885,  146.756,   -0.371, 0.712, -347.397,  238.620
SPI6_max      ,  -51.3207,   52.921,   -0.970, 0.336, -156.980,   54.338
SPI12_max     ,   81.1941,   83.628,    0.971, 0.335,  -85.774,  248.162
SPEI1_max     ,  -45.9520,   72.298,   -0.636, 0.527, -190.300,   98.396
SPEI3_max     ,   32.7150,  107.384,    0.305, 0.762, -181.684,  247.114
SPEI6_max     ,   83.7697,  212.539,    0.394, 0.695, -340.579,  508.118
SPEI12_max    , -116.0521,  209.807,   -0.553, 0.582, -534.946,  302.842
SPI1_median   ,  -92.7496,   94.604,   -0.980, 0.330, -281.633,   96.134
SPI3_median   ,   77.4436,  144.829,    0.535, 0.595, -211.716,  366.604
SPI6_median   ,  -20.9709,   71.727,   -0.292, 0.771, -164.178,  122.236
SPI12_median  ,  -75.2132,  171.661,   -0.438, 0.663, -417.946,  267.520
SPEI1_median  ,   50.6133,   22.895,    2.211, 0.031,    4.902,   96.325
SPEI3_median  ,  -28.7967,   48.968,   -0.588, 0.558, -126.564,   68.970
SPEI6_median  ,  -15.4932,   39.735,   -0.390, 0.698,  -94.827,   63.841
SPEI12_median ,  105.6291,  183.878,    0.574, 0.568, -261.496,  472.754
SPI1_min      ,  -18.2952,   22.528,   -0.812, 0.420,  -63.274,   26.684
SPI3_min      ,   32.7006,   85.313,    0.383, 0.703, -137.632,  203.033
SPI6_min      ,   15.3257,   25.346,    0.605, 0.547,  -35.279,   65.930
SPI12_min     ,    8.9883,   27.798,    0.323, 0.747,  -46.513,   64.489
SPEI1_min     ,   25.8875,   16.712,    1.549, 0.126,   -7.480,   59.255
SPEI3_min     ,  -21.4233,   70.045,   -0.306, 0.761, -161.272,  118.425
SPEI6_min     ,  -42.6351,  152.218,   -0.280, 0.780, -346.549,  261.279
SPEI12_min    ,  -36.2323,   31.917,   -1.135, 0.260,  -99.957,   27.493
SPI1_std      ,  -68.7935,   65.239,   -1.054, 0.296, -199.048,   61.461
SPI3_std      ,   48.1708,  148.810,    0.324, 0.747, -248.938,  345.280
SPI6_std      ,   36.1261,  133.541,    0.271, 0.788, -230.498,  302.750
SPI12_std     , -112.5842,  116.456,   -0.967, 0.337, -345.096,  119.928
SPEI1_std     ,  117.5348,  120.975,    0.972, 0.335, -124.000,  359.070
SPEI3_std     ,  -31.9418,  118.179,   -0.270, 0.788, -267.893,  204.010
SPEI6_std     ,  -77.2240,  262.926,   -0.294, 0.770, -602.173,  447.725
SPEI12_std    ,   56.7259,  153.555,    0.369, 0.713, -249.856,  363.308
SWIA_veg_max  ,   -0.0576,    0.107,   -0.540, 0.591,   -0.270,    0.155
SWIA_veg_mean ,   -0.2429,    0.200,   -1.213, 0.230,   -0.643,    0.157
SWIA_veg_min  ,    0.3256,    0.193,    1.689, 0.096,   -0.059,    0.711
SWIA_veg_std  ,    0.2800,    0.210,    1.331, 0.188,   -0.140,    0.700
SWIA_veg_count,    1.1572,    0.747,    1.549, 0.126,   -0.334,    2.649
SWIA_mat_max  ,    0.3744,    0.228,    1.644, 0.105,   -0.080,    0.829
SWIA_mat_mean ,   -0.1657,    0.235,   -0.705, 0.483,   -0.635,    0.303
SWIA_mat_min  ,   -0.2600,    0.256,   -1.015, 0.314,   -0.771,    0.251
SWIA_mat_std  ,   -0.5855,    0.383,   -1.528, 0.131,   -1.351,    0.180
SWIA_mat_count,    0.9486,    1.565,    0.606, 0.546,   -2.175,    4.072
Omnibus:      ,11.923,  Durbin-Watson:     ,   2.128
Prob(Omnibus):, 0.003,  Jarque-Bera (JB):  ,  35.519
Skew:         ,-0.022,  Prob(JB):          ,1.94e-08
Kurtosis:     , 5.809,  Cond. No.          ,5.11e+05

Notes:
[1] R² is computed without centering (uncentered) since the model does not contain a constant.
[2] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[3] The condition number is large, 5.11e+05. This might indicate that there are
strong multicollinearity or other numerical problems.
