                          OLS Regression Results                          
Dep. Variable:   ,yield           ,  R-squared (uncentered):     ,   0.684
Model:           ,OLS             ,  Adj. R-squared (uncentered):,   0.484
Method:          ,Least Squares   ,  F-statistic:                ,   3.408
Date:            ,Fri, 24 Apr 2026,  Prob (F-statistic):         ,4.13e-06
Time:            ,10:06:18        ,  Log-Likelihood:             , -163.79
No. Observations:,   108          ,  AIC:                        ,   411.6
Df Residuals:    ,    66          ,  BIC:                        ,   524.2
Df Model:        ,    42          ,                              ,        
Covariance Type: ,nonrobust       ,                              ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,   -1.4474,  142.678,   -0.010, 0.992, -286.314,  283.419
SPI3_max      ,  -29.5508,  591.889,   -0.050, 0.960,-1211.296, 1152.195
SPI6_max      ,   -3.8347,  206.635,   -0.019, 0.985, -416.394,  408.725
SPI12_max     ,   16.3043,  345.818,    0.047, 0.963, -674.144,  706.752
SPEI1_max     ,  -15.4325,  283.641,   -0.054, 0.957, -581.741,  550.876
SPEI3_max     ,   30.6119,  426.662,    0.072, 0.943, -821.247,  882.471
SPEI6_max     ,   42.2794,  847.207,    0.050, 0.960,-1649.225, 1733.784
SPEI12_max    ,  -23.5060,  934.228,   -0.025, 0.980,-1888.753, 1841.741
SPI1_median   ,  -20.9390,  393.022,   -0.053, 0.958, -805.633,  763.755
SPI3_median   ,   -0.9401,  619.705,   -0.002, 0.999,-1238.221, 1236.340
SPI6_median   ,   -0.2617,  312.994,   -0.001, 0.999, -625.174,  624.650
SPI12_median  ,  -19.0835,  728.459,   -0.026, 0.979,-1473.499, 1435.332
SPEI1_median  ,   13.5435,   69.863,    0.194, 0.847, -125.943,  153.030
SPEI3_median  ,   24.4433,  129.673,    0.189, 0.851, -234.457,  283.343
SPEI6_median  ,  -18.4889,  113.866,   -0.162, 0.872, -245.831,  208.853
SPEI12_median ,   23.9788,  787.962,    0.030, 0.976,-1549.237, 1597.195
SPI1_min      ,    5.1637,   25.799,    0.200, 0.842,  -46.346,   56.673
SPI3_min      ,   18.2668,  336.708,    0.054, 0.957, -653.993,  690.527
SPI6_min      ,   -7.1898,   33.003,   -0.218, 0.828,  -73.081,   58.702
SPI12_min     ,    4.3651,  130.806,    0.033, 0.973, -256.797,  265.528
SPEI1_min     ,   23.4909,   48.980,    0.480, 0.633,  -74.301,  121.283
SPEI3_min     ,  -33.1244,  206.415,   -0.160, 0.873, -445.245,  378.996
SPEI6_min     ,  -27.7210,  592.825,   -0.047, 0.963,-1211.334, 1155.892
SPEI12_min    ,  -23.1770,   97.391,   -0.238, 0.813, -217.624,  171.270
SPI1_std      ,   11.0042,  172.869,    0.064, 0.949, -334.141,  356.149
SPI3_std      ,   27.7129,  567.538,    0.049, 0.961,-1105.414, 1160.840
SPI6_std      ,  -26.6113,  261.661,   -0.102, 0.919, -549.035,  495.813
SPI12_std     ,   -0.9432,  176.886,   -0.005, 0.996, -354.108,  352.221
SPEI1_std     ,   48.0108,  488.445,    0.098, 0.922, -927.201, 1023.223
SPEI3_std     ,  -48.6215,  260.071,   -0.187, 0.852, -567.870,  470.627
SPEI6_std     ,  -51.8671, 1045.907,   -0.050, 0.961,-2140.087, 2036.353
SPEI12_std    ,  -30.7752,  800.268,   -0.038, 0.969,-1628.562, 1567.012
SWIA_veg_max  ,    0.3473,    0.371,    0.936, 0.352,   -0.393,    1.088
SWIA_veg_mean ,   -0.2177,    0.412,   -0.528, 0.599,   -1.041,    0.606
SWIA_veg_min  ,   -0.1053,    0.741,   -0.142, 0.887,   -1.585,    1.375
SWIA_veg_std  ,   -0.3363,    1.184,   -0.284, 0.777,   -2.700,    2.028
SWIA_veg_count,    0.8251,    3.588,    0.230, 0.819,   -6.338,    7.988
SWIA_mat_max  ,   -0.0541,    0.171,   -0.317, 0.752,   -0.395,    0.287
SWIA_mat_mean ,   -0.0004,    0.319,   -0.001, 0.999,   -0.638,    0.637
SWIA_mat_min  ,   -0.0316,    0.356,   -0.089, 0.929,   -0.743,    0.679
SWIA_mat_std  ,   -0.0399,    0.565,   -0.071, 0.944,   -1.167,    1.087
SWIA_mat_count,    0.9530,    1.451,    0.657, 0.514,   -1.944,    3.850
Omnibus:      , 9.401,  Durbin-Watson:     ,   2.087
Prob(Omnibus):, 0.009,  Jarque-Bera (JB):  ,  22.016
Skew:         ,-0.032,  Prob(JB):          ,1.66e-05
Kurtosis:     , 5.211,  Cond. No.          ,2.35e+06

Notes:
[1] R² is computed without centering (uncentered) since the model does not contain a constant.
[2] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[3] The condition number is large, 2.35e+06. This might indicate that there are
strong multicollinearity or other numerical problems.
