                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.561
Model:           ,OLS             ,  Adj. R-squared:    ,   0.288
Method:          ,Least Squares   ,  F-statistic:       ,   2.054
Date:            ,Fri, 24 Apr 2026,  Prob (F-statistic):,0.00446 
Time:            ,10:07:20        ,  Log-Likelihood:    , -165.26
No. Observations:,   108          ,  AIC:               ,   414.5
Df Residuals:    ,    66          ,  BIC:               ,   527.2
Df Model:        ,    41          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,  -86.9224,  244.887,   -0.355, 0.724, -575.856,  402.011
SPI3_max      ,  181.8705,  841.905,    0.216, 0.830,-1499.046, 1862.787
SPI6_max      ,  147.3952,  364.791,    0.404, 0.687, -580.933,  875.723
SPI12_max     , -216.9933,  586.170,   -0.370, 0.712,-1387.319,  953.333
SPEI1_max     ,  131.4469,  449.985,    0.292, 0.771, -766.977, 1029.871
SPEI3_max     , -119.8891,  595.668,   -0.201, 0.841,-1309.179, 1069.401
SPEI6_max     , -230.5477, 1209.709,   -0.191, 0.849,-2645.810, 2184.715
SPEI12_max    ,  367.0437, 1433.441,    0.256, 0.799,-2494.913, 3229.000
SPI1_median   ,  184.1217,  616.037,    0.299, 0.766,-1045.835, 1414.079
SPI3_median   , -241.1562,  921.214,   -0.262, 0.794,-2080.418, 1598.106
SPI6_median   ,  125.9640,  461.220,    0.273, 0.786, -794.892, 1046.820
SPI12_median  ,  255.0684, 1023.298,    0.249, 0.804,-1788.012, 2298.148
SPEI1_median  ,  -66.3710,  159.127,   -0.417, 0.678, -384.079,  251.337
SPEI3_median  ,  109.5521,  211.504,    0.518, 0.606, -312.729,  531.834
SPEI6_median  ,   13.0901,  177.203,    0.074, 0.941, -340.706,  366.887
SPEI12_median , -301.3343, 1157.057,   -0.260, 0.795,-2611.473, 2008.805
SPI1_min      ,   63.3868,  126.166,    0.502, 0.617, -188.511,  315.285
SPI3_min      ,  -69.3950,  474.304,   -0.146, 0.884,-1016.374,  877.584
SPI6_min      ,  -62.8051,  121.555,   -0.517, 0.607, -305.497,  179.887
SPI12_min     ,  -62.6669,  178.622,   -0.351, 0.727, -419.297,  293.963
SPEI1_min     ,  -20.5404,  131.016,   -0.157, 0.876, -282.121,  241.040
SPEI3_min     ,  -34.2124,  281.936,   -0.121, 0.904, -597.116,  528.691
SPEI6_min     ,   96.6642,  805.787,    0.120, 0.905,-1512.142, 1705.470
SPEI12_min    ,   18.2853,  122.590,    0.149, 0.882, -226.474,  263.044
SPI1_std      ,  242.6522,  507.384,    0.478, 0.634, -770.372, 1255.676
SPI3_std      ,  -79.1251,  783.201,   -0.101, 0.920,-1642.837, 1484.586
SPI6_std      , -134.7475,  436.968,   -0.308, 0.759,-1007.183,  737.688
SPI12_std     ,  307.1868,  615.572,    0.499, 0.619, -921.842, 1536.215
SPEI1_std     , -218.6541,  838.891,   -0.261, 0.795,-1893.554, 1456.246
SPEI3_std     , -147.2919,  347.262,   -0.424, 0.673, -840.623,  546.040
SPEI6_std     ,  197.3370, 1469.629,    0.134, 0.894,-2736.871, 3131.545
SPEI12_std    , -401.5857, 1310.364,   -0.306, 0.760,-3017.812, 2214.641
SWIA_veg_max  ,    0.3559,    0.400,    0.889, 0.377,   -0.443,    1.155
SWIA_veg_mean ,   -0.0876,    0.584,   -0.150, 0.881,   -1.253,    1.077
SWIA_veg_min  ,   -0.5530,    0.968,   -0.571, 0.570,   -2.486,    1.380
SWIA_veg_std  ,   -0.7225,    1.442,   -0.501, 0.618,   -3.601,    2.156
SWIA_veg_count,   -2.7353,    3.628,   -0.754, 0.454,   -9.979,    4.508
SWIA_mat_max  ,   -0.4552,    0.407,   -1.120, 0.267,   -1.267,    0.356
SWIA_mat_mean ,    0.2551,    0.265,    0.964, 0.339,   -0.273,    0.784
SWIA_mat_min  ,    0.0779,    0.307,    0.254, 0.801,   -0.535,    0.691
SWIA_mat_std  ,    0.2121,    0.567,    0.374, 0.709,   -0.919,    1.343
SWIA_mat_count,   -5.2351,   13.624,   -0.384, 0.702,  -32.437,   21.967
Omnibus:      , 8.715,  Durbin-Watson:     ,   2.035
Prob(Omnibus):, 0.013,  Jarque-Bera (JB):  ,  18.988
Skew:         ,-0.044,  Prob(JB):          ,7.53e-05
Kurtosis:     , 5.052,  Cond. No.          ,3.89e+06

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 3.89e+06. This might indicate that there are
strong multicollinearity or other numerical problems.
