                          OLS Regression Results                          
Dep. Variable:   ,yield           ,  R-squared (uncentered):     ,   0.493
Model:           ,OLS             ,  Adj. R-squared (uncentered):,   0.192
Method:          ,Least Squares   ,  F-statistic:                ,   1.641
Date:            ,Fri, 24 Apr 2026,  Prob (F-statistic):         ,0.0327  
Time:            ,10:37:57        ,  Log-Likelihood:             , -192.57
No. Observations:,   113          ,  AIC:                        ,   469.1
Df Residuals:    ,    71          ,  BIC:                        ,   583.7
Df Model:        ,    42          ,                              ,        
Covariance Type: ,nonrobust       ,                              ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,    0.1672,    6.265,    0.027, 0.979,  -12.324,   12.659
SPI3_max      ,    2.5273,    6.838,    0.370, 0.713,  -11.106,   16.161
SPI6_max      ,  -11.9095,   12.064,   -0.987, 0.327,  -35.965,   12.146
SPI12_max     ,   -3.3230,    2.376,   -1.399, 0.166,   -8.061,    1.415
SPEI1_max     ,    7.6206,    8.257,    0.923, 0.359,   -8.842,   24.084
SPEI3_max     ,    9.5329,   12.166,    0.784, 0.436,  -14.726,   33.792
SPEI6_max     ,    9.4016,    9.968,    0.943, 0.349,  -10.475,   29.278
SPEI12_max    ,    6.4294,   11.012,    0.584, 0.561,  -15.527,   28.386
SPI1_median   ,  -10.0082,    5.067,   -1.975, 0.052,  -20.111,    0.094
SPI3_median   ,    5.9653,    4.162,    1.433, 0.156,   -2.333,   14.264
SPI6_median   ,    0.2502,    0.941,    0.266, 0.791,   -1.626,    2.126
SPI12_median  ,    2.3641,    2.029,    1.165, 0.248,   -1.681,    6.409
SPEI1_median  ,   13.3531,    5.384,    2.480, 0.016,    2.617,   24.089
SPEI3_median  ,   -6.4338,    7.403,   -0.869, 0.388,  -21.196,    8.328
SPEI6_median  ,   -3.5042,    5.009,   -0.700, 0.486,  -13.492,    6.483
SPEI12_median ,   -5.4161,    8.588,   -0.631, 0.530,  -22.541,   11.708
SPI1_min      ,   -9.6462,    5.722,   -1.686, 0.096,  -21.056,    1.763
SPI3_min      ,  -25.2688,   13.963,   -1.810, 0.075,  -53.109,    2.572
SPI6_min      ,    8.2317,    9.110,    0.904, 0.369,   -9.933,   26.397
SPI12_min     ,    0.1509,    3.669,    0.041, 0.967,   -7.165,    7.467
SPEI1_min     ,   13.4882,    7.244,    1.862, 0.067,   -0.957,   27.933
SPEI3_min     ,   16.7450,   11.389,    1.470, 0.146,   -5.964,   39.454
SPEI6_min     ,   -7.5678,    7.654,   -0.989, 0.326,  -22.829,    7.693
SPEI12_min    ,   -3.2573,    7.528,   -0.433, 0.667,  -18.267,   11.752
SPI1_std      ,  -18.7761,   16.306,   -1.151, 0.253,  -51.290,   13.737
SPI3_std      ,  -33.8797,   21.708,   -1.561, 0.123,  -77.163,    9.404
SPI6_std      ,   15.4768,   20.601,    0.751, 0.455,  -25.601,   56.555
SPI12_std     ,    7.7012,    6.034,    1.276, 0.206,   -4.330,   19.733
SPEI1_std     ,    7.5407,   15.047,    0.501, 0.618,  -22.463,   37.544
SPEI3_std     ,    7.1026,   20.207,    0.351, 0.726,  -33.189,   47.394
SPEI6_std     ,   -4.4028,   11.829,   -0.372, 0.711,  -27.990,   19.184
SPEI12_std    ,   -9.5550,   15.818,   -0.604, 0.548,  -41.096,   21.986
SWIA_veg_max  ,   -0.1133,    0.121,   -0.933, 0.354,   -0.355,    0.129
SWIA_veg_mean ,    0.2012,    0.153,    1.315, 0.193,   -0.104,    0.506
SWIA_veg_min  ,   -0.0993,    0.105,   -0.945, 0.348,   -0.309,    0.110
SWIA_veg_std  ,    0.1160,    0.134,    0.866, 0.390,   -0.151,    0.383
SWIA_veg_count,   -1.7957,    1.991,   -0.902, 0.370,   -5.766,    2.175
SWIA_mat_max  ,    0.0214,    0.229,    0.094, 0.926,   -0.434,    0.477
SWIA_mat_mean ,    0.0180,    0.144,    0.125, 0.901,   -0.269,    0.305
SWIA_mat_min  ,   -0.0427,    0.124,   -0.346, 0.731,   -0.289,    0.204
SWIA_mat_std  ,   -0.3994,    0.309,   -1.291, 0.201,   -1.016,    0.217
SWIA_mat_count,   -1.7178,    1.173,   -1.465, 0.147,   -4.056,    0.621
Omnibus:      ,14.136,  Durbin-Watson:     ,   2.012
Prob(Omnibus):, 0.001,  Jarque-Bera (JB):  ,  43.659
Skew:         , 0.226,  Prob(JB):          ,3.31e-10
Kurtosis:     , 6.011,  Cond. No.          ,4.35e+04

Notes:
[1] R² is computed without centering (uncentered) since the model does not contain a constant.
[2] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[3] The condition number is large, 4.35e+04. This might indicate that there are
strong multicollinearity or other numerical problems.
