                          OLS Regression Results                          
Dep. Variable:   ,yield           ,  R-squared (uncentered):     ,   0.538
Model:           ,OLS             ,  Adj. R-squared (uncentered):,   0.264
Method:          ,Least Squares   ,  F-statistic:                ,   1.967
Date:            ,Fri, 24 Apr 2026,  Prob (F-statistic):         ,0.00589 
Time:            ,10:26:40        ,  Log-Likelihood:             , -187.29
No. Observations:,   113          ,  AIC:                        ,   458.6
Df Residuals:    ,    71          ,  BIC:                        ,   573.1
Df Model:        ,    42          ,                              ,        
Covariance Type: ,nonrobust       ,                              ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,   22.7642,    7.669,    2.968, 0.004,    7.472,   38.056
SPI3_max      ,   18.5656,    6.888,    2.695, 0.009,    4.830,   32.301
SPI6_max      ,   15.4294,   12.793,    1.206, 0.232,  -10.080,   40.939
SPI12_max     ,   -5.2249,    2.742,   -1.905, 0.061,  -10.693,    0.243
SPEI1_max     ,   -7.9797,   10.446,   -0.764, 0.447,  -28.809,   12.850
SPEI3_max     ,  -25.3622,   13.681,   -1.854, 0.068,  -52.642,    1.917
SPEI6_max     ,  -15.1295,   10.263,   -1.474, 0.145,  -35.593,    5.334
SPEI12_max    ,    2.2716,   11.032,    0.206, 0.837,  -19.725,   24.268
SPI1_median   ,   -7.0830,    4.440,   -1.595, 0.115,  -15.935,    1.769
SPI3_median   ,    4.5514,    4.187,    1.087, 0.281,   -3.798,   12.901
SPI6_median   ,   -1.7519,    1.084,   -1.616, 0.110,   -3.913,    0.409
SPI12_median  ,    1.9342,    2.291,    0.844, 0.401,   -2.634,    6.502
SPEI1_median  ,   15.6607,    4.279,    3.660, 0.000,    7.129,   24.192
SPEI3_median  ,  -18.7624,    7.581,   -2.475, 0.016,  -33.878,   -3.646
SPEI6_median  ,    0.9344,    5.918,    0.158, 0.875,  -10.866,   12.735
SPEI12_median ,   -4.8737,    9.711,   -0.502, 0.617,  -24.237,   14.489
SPI1_min      ,  -24.6155,    8.127,   -3.029, 0.003,  -40.820,   -8.410
SPI3_min      ,  -14.9501,   11.813,   -1.266, 0.210,  -38.505,    8.605
SPI6_min      ,  -13.6382,   10.307,   -1.323, 0.190,  -34.189,    6.913
SPI12_min     ,    5.6708,    4.038,    1.404, 0.165,   -2.381,   13.723
SPEI1_min     ,   18.9793,    6.908,    2.747, 0.008,    5.204,   32.754
SPEI3_min     ,   25.6147,   12.849,    1.994, 0.050,   -0.006,   51.235
SPEI6_min     ,   10.7856,    9.274,    1.163, 0.249,   -7.706,   29.277
SPEI12_min    ,   -9.5499,    8.406,   -1.136, 0.260,  -26.312,    7.212
SPI1_std      ,  -76.9221,   24.391,   -3.154, 0.002, -125.555,  -28.289
SPI3_std      ,  -42.6921,   22.640,   -1.886, 0.063,  -87.835,    2.451
SPI6_std      ,  -26.4809,   23.477,   -1.128, 0.263,  -73.293,   20.332
SPI12_std     ,   12.4550,    6.448,    1.931, 0.057,   -0.403,   25.313
SPEI1_std     ,   46.1665,   21.874,    2.111, 0.038,    2.551,   89.782
SPEI3_std     ,   66.8848,   32.674,    2.047, 0.044,    1.734,  132.036
SPEI6_std     ,   34.2063,   17.191,    1.990, 0.050,   -0.072,   68.485
SPEI12_std    ,  -45.3970,   20.111,   -2.257, 0.027,  -85.497,   -5.297
SWIA_veg_max  ,    0.0996,    0.116,    0.858, 0.394,   -0.132,    0.331
SWIA_veg_mean ,   -0.3442,    0.181,   -1.907, 0.061,   -0.704,    0.016
SWIA_veg_min  ,   -0.0172,    0.098,   -0.176, 0.861,   -0.212,    0.177
SWIA_veg_std  ,   -0.2291,    0.208,   -1.102, 0.274,   -0.643,    0.185
SWIA_veg_count,   -0.0407,    1.826,   -0.022, 0.982,   -3.682,    3.600
SWIA_mat_max  ,    0.1046,    0.219,    0.478, 0.634,   -0.332,    0.541
SWIA_mat_mean ,    0.2723,    0.171,    1.592, 0.116,   -0.069,    0.613
SWIA_mat_min  ,   -0.2230,    0.175,   -1.275, 0.206,   -0.572,    0.126
SWIA_mat_std  ,   -1.0172,    0.434,   -2.346, 0.022,   -1.882,   -0.152
SWIA_mat_count,    3.8634,    2.116,    1.826, 0.072,   -0.356,    8.083
Omnibus:      ,13.543,  Durbin-Watson:     ,   2.058
Prob(Omnibus):, 0.001,  Jarque-Bera (JB):  ,  42.974
Skew:         ,-0.152,  Prob(JB):          ,4.66e-10
Kurtosis:     , 6.006,  Cond. No.          ,5.69e+04

Notes:
[1] R² is computed without centering (uncentered) since the model does not contain a constant.
[2] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[3] The condition number is large, 5.69e+04. This might indicate that there are
strong multicollinearity or other numerical problems.
