                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.333
Model:           ,OLS             ,  Adj. R-squared:    ,  -0.038
Method:          ,Least Squares   ,  F-statistic:       ,  0.8973
Date:            ,Fri, 24 Apr 2026,  Prob (F-statistic):, 0.640  
Time:            ,10:41:27        ,  Log-Likelihood:    , -178.61
No. Observations:,   113          ,  AIC:               ,   439.2
Df Residuals:    ,    72          ,  BIC:               ,   551.0
Df Model:        ,    40          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,    4.7741,   18.097,    0.264, 0.793,  -31.302,   40.850
SPI3_max      ,   -5.6415,   13.930,   -0.405, 0.687,  -33.410,   22.127
SPI6_max      ,    4.8109,   13.658,    0.352, 0.726,  -22.416,   32.038
SPI12_max     ,    1.2649,    3.321,    0.381, 0.704,   -5.356,    7.886
SPEI1_max     ,  -18.0232,   48.887,   -0.369, 0.713, -115.477,   79.430
SPEI3_max     ,   -0.1899,   14.745,   -0.013, 0.990,  -29.584,   29.205
SPEI6_max     ,   -2.0677,   18.953,   -0.109, 0.913,  -39.849,   35.714
SPEI12_max    ,   12.5053,   19.135,    0.654, 0.515,  -25.640,   50.650
SPI1_median   ,    4.6011,    8.529,    0.539, 0.591,  -12.400,   21.603
SPI3_median   ,    0.4600,   15.947,    0.029, 0.977,  -31.330,   32.250
SPI6_median   ,   -1.9534,    2.594,   -0.753, 0.454,   -7.125,    3.218
SPI12_median  ,    1.1309,    1.827,    0.619, 0.538,   -2.511,    4.773
SPEI1_median  ,    4.1886,   11.738,    0.357, 0.722,  -19.212,   27.589
SPEI3_median  ,   -2.2829,   11.091,   -0.206, 0.838,  -24.392,   19.826
SPEI6_median  ,   -5.2431,    9.093,   -0.577, 0.566,  -23.369,   12.883
SPEI12_median ,   -6.3579,    6.542,   -0.972, 0.334,  -19.399,    6.683
SPI1_min      ,   -5.3520,   17.953,   -0.298, 0.766,  -41.140,   30.436
SPI3_min      ,    5.6895,   17.237,    0.330, 0.742,  -28.671,   40.050
SPI6_min      ,    2.3009,    6.717,    0.343, 0.733,  -11.089,   15.691
SPI12_min     ,   -5.8658,   14.134,   -0.415, 0.679,  -34.042,   22.310
SPEI1_min     ,   12.8247,   42.406,    0.302, 0.763,  -71.710,   97.359
SPEI3_min     ,   -6.6149,   23.016,   -0.287, 0.775,  -52.497,   39.267
SPEI6_min     ,    1.1112,   11.905,    0.093, 0.926,  -22.621,   24.843
SPEI12_min    ,    5.1334,   17.514,    0.293, 0.770,  -29.779,   40.046
SPI1_std      ,  -14.4604,   45.088,   -0.321, 0.749, -104.343,   75.422
SPI3_std      ,    7.7559,   28.483,    0.272, 0.786,  -49.024,   64.536
SPI6_std      ,   -2.2585,    9.231,   -0.245, 0.807,  -20.660,   16.143
SPI12_std     ,  -13.6236,   33.318,   -0.409, 0.684,  -80.041,   52.794
SPEI1_std     ,   34.2368,   93.524,    0.366, 0.715, -152.200,  220.673
SPEI3_std     ,   14.2922,   33.175,    0.431, 0.668,  -51.841,   80.425
SPEI6_std     ,   15.5187,   42.093,    0.369, 0.713,  -68.391,   99.429
SPEI12_std    ,    6.5121,   32.270,    0.202, 0.841,  -57.817,   70.841
SWIA_veg_max  ,   -0.1078,    1.914,   -0.056, 0.955,   -3.923,    3.707
SWIA_veg_mean ,    0.8516,    2.241,    0.380, 0.705,   -3.616,    5.320
SWIA_veg_min  ,   -0.9256,    2.380,   -0.389, 0.699,   -5.671,    3.820
SWIA_veg_std  ,   -0.9727,    2.944,   -0.330, 0.742,   -6.841,    4.895
SWIA_veg_count,   -1.8090,    3.331,   -0.543, 0.589,   -8.450,    4.832
SWIA_mat_max  ,    0.0166,    0.621,    0.027, 0.979,   -1.221,    1.255
SWIA_mat_mean ,   -0.3266,    0.655,   -0.498, 0.620,   -1.633,    0.980
SWIA_mat_min  ,    0.5880,    1.794,    0.328, 0.744,   -2.989,    4.165
SWIA_mat_std  ,    0.1210,    0.606,    0.200, 0.842,   -1.088,    1.330
SWIA_mat_count,    4.5068,   11.473,    0.393, 0.696,  -18.363,   27.377
Omnibus:      ,28.756,  Durbin-Watson:     ,   2.443
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  ,  68.436
Skew:         ,-0.953,  Prob(JB):          ,1.38e-15
Kurtosis:     , 6.301,  Cond. No.          ,2.27e+15

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 1.4e-25. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
