                          OLS Regression Results                          
Dep. Variable:   ,yield           ,  R-squared (uncentered):     ,   0.381
Model:           ,OLS             ,  Adj. R-squared (uncentered):,   0.014
Method:          ,Least Squares   ,  F-statistic:                ,   1.038
Date:            ,Fri, 24 Apr 2026,  Prob (F-statistic):         , 0.436  
Time:            ,10:49:23        ,  Log-Likelihood:             , -177.68
No. Observations:,   113          ,  AIC:                        ,   439.4
Df Residuals:    ,    71          ,  BIC:                        ,   553.9
Df Model:        ,    42          ,                              ,        
Covariance Type: ,nonrobust       ,                              ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,    0.4199,    7.284,    0.058, 0.954,  -14.104,   14.944
SPI3_max      ,   -0.6683,   12.034,   -0.056, 0.956,  -24.664,   23.328
SPI6_max      ,   -5.3680,    9.603,   -0.559, 0.578,  -24.516,   13.780
SPI12_max     ,    6.0368,   10.156,    0.594, 0.554,  -14.215,   26.288
SPEI1_max     ,    9.5102,   16.607,    0.573, 0.569,  -23.603,   42.623
SPEI3_max     ,   -7.3122,   25.262,   -0.289, 0.773,  -57.684,   43.059
SPEI6_max     ,   16.6488,   46.254,    0.360, 0.720,  -75.580,  108.877
SPEI12_max    ,  -11.2945,   26.164,   -0.432, 0.667,  -63.465,   40.876
SPI1_median   ,   11.0716,   17.257,    0.642, 0.523,  -23.338,   45.481
SPI3_median   ,   12.1158,    8.913,    1.359, 0.178,   -5.655,   29.887
SPI6_median   ,   -0.8458,    4.194,   -0.202, 0.841,   -9.209,    7.517
SPI12_median  ,    0.9329,    1.670,    0.559, 0.578,   -2.397,    4.262
SPEI1_median  ,   -6.8201,   12.120,   -0.563, 0.575,  -30.987,   17.347
SPEI3_median  ,   -6.7762,   18.363,   -0.369, 0.713,  -43.392,   29.839
SPEI6_median  ,  -13.8368,   22.161,   -0.624, 0.534,  -58.024,   30.350
SPEI12_median ,   -6.5511,   12.228,   -0.536, 0.594,  -30.933,   17.831
SPI1_min      ,   -2.4172,   11.396,   -0.212, 0.833,  -25.140,   20.305
SPI3_min      ,   -1.1292,    6.304,   -0.179, 0.858,  -13.699,   11.441
SPI6_min      ,    2.2285,    4.797,    0.465, 0.644,   -7.337,   11.794
SPI12_min     ,   -3.6890,    7.642,   -0.483, 0.631,  -18.926,   11.548
SPEI1_min     ,  -10.3898,    9.678,   -1.074, 0.287,  -29.688,    8.908
SPEI3_min     ,   22.0801,   31.692,    0.697, 0.488,  -41.111,   85.271
SPEI6_min     ,  -12.0121,   38.333,   -0.313, 0.755,  -88.445,   64.421
SPEI12_min    ,   12.2203,   24.194,    0.505, 0.615,  -36.021,   60.462
SPI1_std      ,   -8.5041,   32.670,   -0.260, 0.795,  -73.647,   56.639
SPI3_std      ,   -2.6714,   17.123,   -0.156, 0.876,  -36.815,   31.472
SPI6_std      ,   10.3808,   16.030,    0.648, 0.519,  -21.583,   42.344
SPI12_std     ,   -9.0406,   16.920,   -0.534, 0.595,  -42.779,   24.698
SPEI1_std     ,  -17.5554,   33.547,   -0.523, 0.602,  -84.446,   49.335
SPEI3_std     ,   38.5188,   59.116,    0.652, 0.517,  -79.355,  156.392
SPEI6_std     ,  -47.3571,   96.221,   -0.492, 0.624, -239.217,  144.503
SPEI12_std    ,   27.3518,   55.062,    0.497, 0.621,  -82.439,  137.142
SWIA_veg_max  ,    0.0804,    0.213,    0.377, 0.707,   -0.344,    0.505
SWIA_veg_mean ,   -0.2437,    0.309,   -0.789, 0.433,   -0.859,    0.372
SWIA_veg_min  ,    0.1692,    0.254,    0.666, 0.508,   -0.338,    0.676
SWIA_veg_std  ,    0.1591,    0.229,    0.695, 0.489,   -0.297,    0.616
SWIA_veg_count,   -0.5594,    1.221,   -0.458, 0.648,   -2.994,    1.875
SWIA_mat_max  ,   -0.0632,    0.280,   -0.226, 0.822,   -0.622,    0.495
SWIA_mat_mean ,   -0.0072,    0.257,   -0.028, 0.978,   -0.520,    0.506
SWIA_mat_min  ,    0.0919,    0.377,    0.244, 0.808,   -0.659,    0.843
SWIA_mat_std  ,    0.0905,    0.549,    0.165, 0.870,   -1.004,    1.185
SWIA_mat_count,    0.4524,    0.958,    0.472, 0.638,   -1.457,    2.362
Omnibus:      ,24.556,  Durbin-Watson:     ,   2.523
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  ,  52.497
Skew:         ,-0.848,  Prob(JB):          ,3.98e-12
Kurtosis:     , 5.876,  Cond. No.          ,1.06e+05

Notes:
[1] R² is computed without centering (uncentered) since the model does not contain a constant.
[2] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[3] The condition number is large, 1.06e+05. This might indicate that there are
strong multicollinearity or other numerical problems.
