                          OLS Regression Results                          
Dep. Variable:   ,yield           ,  R-squared (uncentered):     ,   0.347
Model:           ,OLS             ,  Adj. R-squared (uncentered):,  -0.029
Method:          ,Least Squares   ,  F-statistic:                ,  0.9236
Date:            ,Fri, 24 Apr 2026,  Prob (F-statistic):         , 0.604  
Time:            ,11:06:12        ,  Log-Likelihood:             , -191.85
No. Observations:,   115          ,  AIC:                        ,   467.7
Df Residuals:    ,    73          ,  BIC:                        ,   583.0
Df Model:        ,    42          ,                              ,        
Covariance Type: ,nonrobust       ,                              ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,   -1.3838,    2.734,   -0.506, 0.614,   -6.833,    4.066
SPI3_max      ,   -6.8668,   17.128,   -0.401, 0.690,  -41.004,   27.270
SPI6_max      ,   -1.8832,    5.533,   -0.340, 0.735,  -12.910,    9.144
SPI12_max     ,    1.1940,    5.601,    0.213, 0.832,   -9.968,   12.357
SPEI1_max     ,    6.7105,    6.620,    1.014, 0.314,   -6.484,   19.905
SPEI3_max     ,    1.1091,   13.730,    0.081, 0.936,  -26.254,   28.472
SPEI6_max     ,   -0.1514,    8.608,   -0.018, 0.986,  -17.307,   17.004
SPEI12_max    ,   -5.3969,   11.516,   -0.469, 0.641,  -28.349,   17.555
SPI1_median   ,   -3.6291,    4.973,   -0.730, 0.468,  -13.540,    6.282
SPI3_median   ,    0.0200,   11.110,    0.002, 0.999,  -22.122,   22.162
SPI6_median   ,   -4.2354,    6.137,   -0.690, 0.492,  -16.466,    7.995
SPI12_median  ,    0.0850,    0.799,    0.106, 0.916,   -1.507,    1.677
SPEI1_median  ,    7.9657,    5.531,    1.440, 0.154,   -3.058,   18.989
SPEI3_median  ,   -5.5637,    8.561,   -0.650, 0.518,  -22.627,   11.499
SPEI6_median  ,    6.0080,    7.339,    0.819, 0.416,   -8.619,   20.635
SPEI12_median ,    0.4072,    7.888,    0.052, 0.959,  -15.313,   16.127
SPI1_min      ,   -0.7970,    2.575,   -0.310, 0.758,   -5.929,    4.335
SPI3_min      ,   -5.8918,    6.692,   -0.880, 0.382,  -19.230,    7.446
SPI6_min      ,   -1.7520,    2.193,   -0.799, 0.427,   -6.123,    2.619
SPI12_min     ,    1.0049,    1.851,    0.543, 0.589,   -2.683,    4.693
SPEI1_min     ,    2.7035,    5.604,    0.482, 0.631,   -8.465,   13.872
SPEI3_min     ,    4.6029,    9.108,    0.505, 0.615,  -13.548,   22.754
SPEI6_min     ,    2.1380,    8.839,    0.242, 0.810,  -15.478,   19.754
SPEI12_min    ,    6.8055,   10.305,    0.660, 0.511,  -13.731,   27.342
SPI1_std      ,    3.0560,    6.716,    0.455, 0.650,  -10.329,   16.441
SPI3_std      ,  -20.0740,   15.073,   -1.332, 0.187,  -50.115,    9.967
SPI6_std      ,   -6.0882,    6.011,   -1.013, 0.314,  -18.068,    5.891
SPI12_std     ,    5.4314,    3.578,    1.518, 0.133,   -1.700,   12.563
SPEI1_std     ,   -8.9517,   10.606,   -0.844, 0.401,  -30.090,   12.187
SPEI3_std     ,   26.9566,   20.006,    1.347, 0.182,  -12.915,   66.828
SPEI6_std     ,    7.2589,   23.275,    0.312, 0.756,  -39.128,   53.646
SPEI12_std    ,   31.8396,   27.885,    1.142, 0.257,  -23.735,   87.414
SWIA_veg_max  ,   -0.0912,    0.347,   -0.263, 0.793,   -0.783,    0.600
SWIA_veg_mean ,   -0.3657,    0.693,   -0.528, 0.599,   -1.746,    1.015
SWIA_veg_min  ,    0.3471,    0.802,    0.433, 0.667,   -1.252,    1.946
SWIA_veg_std  ,    0.2242,    0.990,    0.226, 0.821,   -1.749,    2.197
SWIA_veg_count,    0.6001,    1.124,    0.534, 0.595,   -1.640,    2.840
SWIA_mat_max  ,    0.1670,    0.392,    0.426, 0.671,   -0.614,    0.948
SWIA_mat_mean ,    0.1921,    0.253,    0.760, 0.450,   -0.312,    0.696
SWIA_mat_min  ,   -0.1277,    0.309,   -0.413, 0.681,   -0.743,    0.488
SWIA_mat_std  ,    0.0507,    0.667,    0.076, 0.940,   -1.279,    1.381
SWIA_mat_count,   -1.5231,    1.634,   -0.932, 0.354,   -4.780,    1.734
Omnibus:      ,26.298,  Durbin-Watson:     ,   1.993
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  ,  54.349
Skew:         , 0.917,  Prob(JB):          ,1.58e-12
Kurtosis:     , 5.825,  Cond. No.          ,2.38e+04

Notes:
[1] R² is computed without centering (uncentered) since the model does not contain a constant.
[2] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[3] The condition number is large, 2.38e+04. This might indicate that there are
strong multicollinearity or other numerical problems.
