                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.657
Model:           ,OLS             ,  Adj. R-squared:    ,   0.304
Method:          ,Least Squares   ,  F-statistic:       ,   1.861
Date:            ,Thu, 23 Apr 2026,  Prob (F-statistic):,0.0307  
Time:            ,12:52:15        ,  Log-Likelihood:    , -107.39
No. Observations:,    76          ,  AIC:               ,   292.8
Df Residuals:    ,    37          ,  BIC:               ,   383.7
Df Model:        ,    38          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,  983.5000, 2215.036,    0.444, 0.660,-3504.589, 5471.589
SPI3_max      ,-1337.7128, 2966.198,   -0.451, 0.655,-7347.802, 4672.376
SPI6_max      ,  668.0579, 1459.775,    0.458, 0.650,-2289.728, 3625.843
SPI12_max     ,-1113.9583, 2410.242,   -0.462, 0.647,-5997.573, 3769.657
SPEI1_max     , 1005.6644, 2252.539,    0.446, 0.658,-3558.412, 5569.741
SPEI3_max     , 1665.1679, 3723.456,    0.447, 0.657,-5879.271, 9209.607
SPEI6_max     , 1105.6911, 2383.207,    0.464, 0.645,-3723.144, 5934.527
SPEI12_max    ,-2406.6181, 5395.841,   -0.446, 0.658,-1.33e+04, 8526.393
SPI1_median   , 2377.4186, 5290.199,    0.449, 0.656,-8341.543, 1.31e+04
SPI3_median   ,-3025.9940, 6727.605,   -0.450, 0.655,-1.67e+04, 1.06e+04
SPI6_median   , 2281.2317, 5016.080,    0.455, 0.652,-7882.311, 1.24e+04
SPI12_median  ,  174.1322,  396.281,    0.439, 0.663, -628.809,  977.073
SPEI1_median  ,-1773.9612, 3955.529,   -0.448, 0.656,-9788.624, 6240.701
SPEI3_median  , 1672.0379, 3809.848,    0.439, 0.663,-6047.447, 9391.523
SPEI6_median  ,-3623.9662, 8090.498,   -0.448, 0.657,   -2e+04, 1.28e+04
SPEI12_median ,-2680.7848, 5974.616,   -0.449, 0.656,-1.48e+04, 9424.937
SPI1_min      , -627.9631, 1417.447,   -0.443, 0.660,-3499.984, 2244.058
SPI3_min      ,   69.2798,  169.900,    0.408, 0.686, -274.969,  413.529
SPI6_min      , -103.6970,  232.449,   -0.446, 0.658, -574.683,  367.289
SPI12_min     ,  696.1975, 1481.225,    0.470, 0.641,-2305.050, 3697.445
SPEI1_min     , 2671.1865, 5913.520,    0.452, 0.654,-9310.744, 1.47e+04
SPEI3_min     ,-1037.2461, 2271.861,   -0.457, 0.651,-5640.473, 3565.981
SPEI6_min     , 1321.3645, 2919.820,    0.453, 0.654,-4594.752, 7237.481
SPEI12_min    , 1570.8846, 3550.440,    0.442, 0.661,-5622.990, 8764.759
SPI1_std      ,-2263.9663, 5097.285,   -0.444, 0.660,-1.26e+04, 8064.115
SPI3_std      , -719.3742, 1566.939,   -0.459, 0.649,-3894.294, 2455.545
SPI6_std      , -752.7857, 1718.984,   -0.438, 0.664,-4235.778, 2730.207
SPI12_std     , 2295.1689, 5040.471,    0.455, 0.652,-7917.795, 1.25e+04
SPEI1_std     , 2492.8187, 5522.500,    0.451, 0.654,-8696.830, 1.37e+04
SPEI3_std     ,   99.7312,  242.082,    0.412, 0.683, -390.774,  590.236
SPEI6_std     , 1850.0987, 4093.234,    0.452, 0.654,-6443.582, 1.01e+04
SPEI12_std    , 2149.4004, 4675.376,    0.460, 0.648,-7323.811, 1.16e+04
SWIA_veg_max  , -269.9657,  601.320,   -0.449, 0.656,-1488.356,  948.425
VICI_veg_max  ,   52.3007,  116.826,    0.448, 0.657, -184.412,  289.013
SWIA_veg_mean ,   46.3629,  105.113,    0.441, 0.662, -166.616,  259.342
VICI_veg_mean ,   -0.2350,    0.588,   -0.400, 0.692,   -1.426,    0.956
SWIA_veg_min  ,  235.4035,  523.494,    0.450, 0.656, -825.295, 1296.102
VICI_veg_min  , -352.1183,  785.919,   -0.448, 0.657,-1944.541, 1240.304
SWIA_veg_std  ,  496.9404, 1106.134,    0.449, 0.656,-1744.301, 2738.181
VICI_veg_std  , -105.4188,  235.501,   -0.448, 0.657, -582.590,  371.752
SWIA_veg_count,   97.1560,  202.448,    0.480, 0.634, -313.042,  507.354
VICI_veg_count,  -87.5615,  194.595,   -0.450, 0.655, -481.849,  306.726
SWIA_mat_max  ,   39.8439,   90.603,    0.440, 0.663, -143.735,  223.422
VICI_mat_max  ,  300.1989,  669.652,    0.448, 0.657,-1056.644, 1657.042
SWIA_mat_mean ,  -47.3989,  107.304,   -0.442, 0.661, -264.817,  170.019
VICI_mat_mean ,-6655.4966, 1.48e+04,   -0.448, 0.657,-3.67e+04, 2.34e+04
SWIA_mat_min  ,    4.7525,    8.882,    0.535, 0.596,  -13.244,   22.749
VICI_mat_min  ,         0,        0,      nan,   nan,        0,        0
SWIA_mat_std  ,  -19.1513,   46.780,   -0.409, 0.685, -113.937,   75.635
VICI_mat_std  ,-1383.0070, 3084.818,   -0.448, 0.657,-7633.441, 4867.427
SWIA_mat_count,  277.3799,  633.510,    0.438, 0.664,-1006.234, 1560.993
VICI_mat_count, 2.173e+04, 4.85e+04,    0.448, 0.657,-7.65e+04,  1.2e+05
Omnibus:      ,14.892,  Durbin-Watson:     ,   2.100
Prob(Omnibus):, 0.001,  Jarque-Bera (JB):  ,  64.724
Skew:         ,-0.019,  Prob(JB):          ,8.82e-15
Kurtosis:     , 7.521,  Cond. No.          ,1.32e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 9.13e-27. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
