                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.514
Model:           ,OLS             ,  Adj. R-squared:    ,   0.132
Method:          ,Least Squares   ,  F-statistic:       ,   1.346
Date:            ,Thu, 23 Apr 2026,  Prob (F-statistic):, 0.146  
Time:            ,13:05:55        ,  Log-Likelihood:    , -163.72
No. Observations:,   101          ,  AIC:               ,   417.4
Df Residuals:    ,    56          ,  BIC:               ,   535.1
Df Model:        ,    44          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,   92.1216,   35.152,    2.621, 0.011,   21.703,  162.541
SPI3_max      ,   18.9510,   20.463,    0.926, 0.358,  -22.041,   59.943
SPI6_max      ,   44.5124,   30.016,    1.483, 0.144,  -15.617,  104.642
SPI12_max     ,   24.4284,   11.185,    2.184, 0.033,    2.022,   46.835
SPEI1_max     ,  -61.5306,   31.575,   -1.949, 0.056, -124.784,    1.723
SPEI3_max     ,  -45.2421,   33.559,   -1.348, 0.183, -112.469,   21.985
SPEI6_max     ,  -89.3378,   35.413,   -2.523, 0.015, -160.278,  -18.398
SPEI12_max    ,  -20.4418,   31.810,   -0.643, 0.523,  -84.166,   43.282
SPI1_median   ,    5.5944,   32.982,    0.170, 0.866,  -60.477,   71.666
SPI3_median   ,   13.2951,   20.232,    0.657, 0.514,  -27.234,   53.824
SPI6_median   ,    0.0912,    4.318,    0.021, 0.983,   -8.559,    8.742
SPI12_median  ,   -8.4852,    9.175,   -0.925, 0.359,  -26.865,    9.895
SPEI1_median  ,   13.1958,   45.571,    0.290, 0.773,  -78.094,  104.486
SPEI3_median  ,  -34.9068,   53.209,   -0.656, 0.514, -141.498,   71.684
SPEI6_median  ,    3.5945,   22.450,    0.160, 0.873,  -41.378,   48.567
SPEI12_median ,   24.7102,   31.605,    0.782, 0.438,  -38.601,   88.022
SPI1_min      ,  -25.0395,   21.710,   -1.153, 0.254,  -68.530,   18.451
SPI3_min      ,   43.4264,   30.684,    1.415, 0.163,  -18.040,  104.893
SPI6_min      ,  -18.0688,   26.696,   -0.677, 0.501,  -71.547,   35.410
SPI12_min     ,   15.4240,   11.991,    1.286, 0.204,   -8.597,   39.445
SPEI1_min     ,  -26.5169,   40.528,   -0.654, 0.516, -107.704,   54.670
SPEI3_min     ,  -32.9655,   20.694,   -1.593, 0.117,  -74.420,    8.489
SPEI6_min     ,   23.7429,   39.769,    0.597, 0.553,  -55.923,  103.409
SPEI12_min    ,  -28.0754,   11.880,   -2.363, 0.022,  -51.874,   -4.277
SPI1_std      , -104.7404,   79.031,   -1.325, 0.190, -263.058,   53.578
SPI3_std      ,   -8.1262,   39.942,   -0.203, 0.840,  -88.140,   71.888
SPI6_std      ,  -38.3799,   29.668,   -1.294, 0.201,  -97.812,   21.052
SPI12_std     ,  -46.0234,   48.172,   -0.955, 0.343, -142.524,   50.478
SPEI1_std     ,   -9.7466,   38.149,   -0.255, 0.799,  -86.169,   66.676
SPEI3_std     ,   25.0867,   35.871,    0.699, 0.487,  -46.771,   96.944
SPEI6_std     ,   77.2096,   74.178,    1.041, 0.302,  -71.387,  225.806
SPEI12_std    , -108.5985,   57.442,   -1.891, 0.064, -223.670,    6.472
SWIA_veg_max  ,    2.5781,    1.346,    1.915, 0.061,   -0.119,    5.275
VICI_veg_max  ,   -0.1087,    0.957,   -0.114, 0.910,   -2.025,    1.808
SWIA_veg_mean ,   -0.8706,    0.481,   -1.810, 0.076,   -1.834,    0.093
VICI_veg_mean ,   -0.1532,    0.277,   -0.553, 0.583,   -0.709,    0.402
SWIA_veg_min  ,    0.0379,    0.862,    0.044, 0.965,   -1.689,    1.765
VICI_veg_min  ,-2.739e-13, 1.51e-13,   -1.810, 0.076,-5.77e-13, 2.93e-14
SWIA_veg_std  ,   -1.1496,    1.161,   -0.990, 0.326,   -3.476,    1.177
VICI_veg_std  ,    0.3388,    1.764,    0.192, 0.848,   -3.195,    3.873
SWIA_veg_count,   11.3196,    8.609,    1.315, 0.194,   -5.927,   28.566
VICI_veg_count,    0.4292,    3.469,    0.124, 0.902,   -6.520,    7.378
SWIA_mat_max  ,    0.9300,    1.725,    0.539, 0.592,   -2.526,    4.386
VICI_mat_max  ,    0.0217,    0.516,    0.042, 0.967,   -1.012,    1.055
SWIA_mat_mean ,    0.7134,    1.070,    0.667, 0.508,   -1.430,    2.857
VICI_mat_mean ,   -0.0325,    1.375,   -0.024, 0.981,   -2.786,    2.721
SWIA_mat_min  ,   -0.6933,    0.991,   -0.699, 0.487,   -2.679,    1.292
VICI_mat_min  ,         0,        0,      nan,   nan,        0,        0
SWIA_mat_std  ,   -1.1191,    2.114,   -0.529, 0.599,   -5.354,    3.116
VICI_mat_std  ,    0.0126,    0.341,    0.037, 0.971,   -0.671,    0.696
SWIA_mat_count,  -18.1457,   11.052,   -1.642, 0.106,  -40.286,    3.995
VICI_mat_count,    0.0274,    0.989,    0.028, 0.978,   -1.954,    2.009
Omnibus:      ,24.268,  Durbin-Watson:     ,   2.220
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  ,  80.964
Skew:         ,-0.705,  Prob(JB):          ,2.62e-18
Kurtosis:     , 7.153,  Cond. No.          ,1.17e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 1.67e-26. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
