                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.358
Model:           ,OLS             ,  Adj. R-squared:    ,  -0.036
Method:          ,Least Squares   ,  F-statistic:       ,  0.9087
Date:            ,Thu, 23 Apr 2026,  Prob (F-statistic):, 0.619  
Time:            ,13:23:32        ,  Log-Likelihood:    , -159.29
No. Observations:,   101          ,  AIC:               ,   396.6
Df Residuals:    ,    62          ,  BIC:               ,   498.6
Df Model:        ,    38          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,   -1.7427,    2.378,   -0.733, 0.466,   -6.497,    3.011
SPI3_max      ,   -2.5245,    6.727,   -0.375, 0.709,  -15.971,   10.922
SPI6_max      ,    1.1087,    6.069,    0.183, 0.856,  -11.022,   13.240
SPI12_max     ,   -0.5554,    7.530,   -0.074, 0.941,  -15.607,   14.496
SPEI1_max     ,   -1.2056,    4.765,   -0.253, 0.801,  -10.732,    8.320
SPEI3_max     ,    0.9963,    2.744,    0.363, 0.718,   -4.489,    6.481
SPEI6_max     ,    1.8457,    2.702,    0.683, 0.497,   -3.556,    7.247
SPEI12_max    ,    5.2473,    3.694,    1.421, 0.160,   -2.137,   12.631
SPI1_median   ,    3.1991,    9.506,    0.337, 0.738,  -15.803,   22.201
SPI3_median   ,    6.2226,    4.650,    1.338, 0.186,   -3.073,   15.518
SPI6_median   ,   -1.8850,    3.485,   -0.541, 0.591,   -8.852,    5.082
SPI12_median  ,    1.6769,    1.660,    1.010, 0.316,   -1.642,    4.996
SPEI1_median  ,    1.3391,   16.401,    0.082, 0.935,  -31.446,   34.125
SPEI3_median  ,   -2.9158,   11.805,   -0.247, 0.806,  -26.515,   20.683
SPEI6_median  ,   -2.6153,    4.914,   -0.532, 0.596,  -12.438,    7.208
SPEI12_median ,   -5.8987,    9.423,   -0.626, 0.534,  -24.736,   12.938
SPI1_min      ,    1.4871,    3.218,    0.462, 0.646,   -4.945,    7.919
SPI3_min      ,   -0.1291,    4.553,   -0.028, 0.977,   -9.231,    8.972
SPI6_min      ,    0.5593,    5.626,    0.099, 0.921,  -10.687,   11.806
SPI12_min     ,    0.6055,    3.688,    0.164, 0.870,   -6.766,    7.977
SPEI1_min     ,   -2.2557,   10.861,   -0.208, 0.836,  -23.967,   19.456
SPEI3_min     ,   -0.5726,    8.703,   -0.066, 0.948,  -17.969,   16.824
SPEI6_min     ,   -0.7375,    3.813,   -0.193, 0.847,   -8.360,    6.885
SPEI12_min    ,   -1.2159,    7.288,   -0.167, 0.868,  -15.785,   13.353
SPI1_std      ,    2.7724,    7.626,    0.364, 0.717,  -12.472,   18.017
SPI3_std      ,   -0.2161,    9.369,   -0.023, 0.982,  -18.944,   18.512
SPI6_std      ,    1.0872,    5.868,    0.185, 0.854,  -10.642,   12.816
SPI12_std     ,   -1.6292,    7.571,   -0.215, 0.830,  -16.763,   13.505
SPEI1_std     ,    0.4637,    9.769,    0.047, 0.962,  -19.065,   19.992
SPEI3_std     ,    0.2343,    7.881,    0.030, 0.976,  -15.519,   15.988
SPEI6_std     ,   -3.0043,    9.462,   -0.318, 0.752,  -21.918,   15.909
SPEI12_std    ,   -3.9658,   10.953,   -0.362, 0.719,  -25.862,   17.930
SWIA_veg_max  ,   -0.3029,    3.290,   -0.092, 0.927,   -6.879,    6.273
VICI_veg_max  ,    0.1003,    1.054,    0.095, 0.924,   -2.006,    2.206
SWIA_veg_mean ,   -0.8562,    2.133,   -0.401, 0.690,   -5.120,    3.408
VICI_veg_mean ,    0.4774,    4.285,    0.111, 0.912,   -8.088,    9.043
SWIA_veg_min  ,    1.0064,    5.111,    0.197, 0.845,   -9.211,   11.224
VICI_veg_min  , -6.23e-16, 1.01e-14,   -0.062, 0.951,-2.08e-14, 1.96e-14
SWIA_veg_std  ,    1.1018,    7.438,    0.148, 0.883,  -13.767,   15.971
VICI_veg_std  ,   -1.1423,    4.936,   -0.231, 0.818,  -11.009,    8.725
SWIA_veg_count,    0.1877,    7.101,    0.026, 0.979,  -14.007,   14.382
VICI_veg_count,    2.5141,    2.550,    0.986, 0.328,   -2.583,    7.611
SWIA_mat_max  ,    0.2136,    0.750,    0.285, 0.777,   -1.286,    1.714
VICI_mat_max  ,    1.9169,   15.290,    0.125, 0.901,  -28.647,   32.481
SWIA_mat_mean ,   -0.0370,    0.805,   -0.046, 0.964,   -1.647,    1.573
VICI_mat_mean ,   -1.8781,   24.294,   -0.077, 0.939,  -50.441,   46.685
SWIA_mat_min  ,    0.2653,    3.264,    0.081, 0.935,   -6.259,    6.789
VICI_mat_min  ,         0,        0,      nan,   nan,        0,        0
SWIA_mat_std  ,    0.0954,    0.621,    0.154, 0.878,   -1.145,    1.336
VICI_mat_std  ,   -2.1021,   29.046,   -0.072, 0.943,  -60.165,   55.961
SWIA_mat_count,   -1.5667,    7.531,   -0.208, 0.836,  -16.620,   13.487
VICI_mat_count,    0.2684,    2.141,    0.125, 0.901,   -4.011,    4.547
Omnibus:      ,23.800,  Durbin-Watson:     ,   2.416
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  ,  52.060
Skew:         ,-0.871,  Prob(JB):          ,4.96e-12
Kurtosis:     , 6.055,  Cond. No.          ,1.27e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 4.88e-27. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
