                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.424
Model:           ,OLS             ,  Adj. R-squared:    ,  -0.125
Method:          ,Least Squares   ,  F-statistic:       ,  0.7726
Date:            ,Thu, 23 Apr 2026,  Prob (F-statistic):, 0.793  
Time:            ,13:37:20        ,  Log-Likelihood:    , -123.60
No. Observations:,    83          ,  AIC:               ,   329.2
Df Residuals:    ,    42          ,  BIC:               ,   428.4
Df Model:        ,    40          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      , 2.535e+06, 6.23e+06,    0.407, 0.686,   -1e+07, 1.51e+07
SPI3_max      ,-7.771e+06, 1.91e+07,   -0.407, 0.686,-4.63e+07, 3.08e+07
SPI6_max      ,-1.644e+06, 4.04e+06,   -0.407, 0.686, -9.8e+06, 6.51e+06
SPI12_max     , 3.637e+05, 8.94e+05,    0.407, 0.686,-1.44e+06, 2.17e+06
SPEI1_max     ,-4.324e+06, 1.06e+07,   -0.407, 0.686,-2.58e+07, 1.71e+07
SPEI3_max     , 2.919e+06, 7.18e+06,    0.407, 0.686,-1.16e+07, 1.74e+07
SPEI6_max     , 2.172e+07, 5.34e+07,    0.407, 0.686, -8.6e+07, 1.29e+08
SPEI12_max    , -3.16e+06, 7.77e+06,   -0.407, 0.686,-1.88e+07, 1.25e+07
SPI1_median   ,-4.216e+06, 1.04e+07,   -0.407, 0.686,-2.51e+07, 1.67e+07
SPI3_median   ,-1.964e+06, 4.83e+06,   -0.407, 0.686,-1.17e+07, 7.78e+06
SPI6_median   , 7.288e+04, 1.79e+05,    0.407, 0.686,-2.89e+05, 4.34e+05
SPI12_median  ,-1.858e+06, 4.57e+06,   -0.407, 0.686,-1.11e+07, 7.36e+06
SPEI1_median  , 1.295e+06, 3.18e+06,    0.407, 0.686,-5.13e+06, 7.72e+06
SPEI3_median  , -7.17e+06, 1.76e+07,   -0.407, 0.686,-4.27e+07, 2.84e+07
SPEI6_median  ,-8.865e+06, 2.18e+07,   -0.407, 0.686,-5.28e+07, 3.51e+07
SPEI12_median , 9.683e+06, 2.38e+07,    0.407, 0.686,-3.84e+07, 5.77e+07
SPI1_min      ,-3.003e+06, 7.38e+06,   -0.407, 0.686,-1.79e+07, 1.19e+07
SPI3_min      , 2.775e+06, 6.82e+06,    0.407, 0.686, -1.1e+07, 1.65e+07
SPI6_min      ,-1.254e+06, 3.08e+06,   -0.407, 0.686,-7.47e+06, 4.97e+06
SPI12_min     , 1.112e+06, 2.73e+06,    0.407, 0.686, -4.4e+06, 6.63e+06
SPEI1_min     , 5.256e+06, 1.29e+07,    0.407, 0.686,-2.08e+07, 3.13e+07
SPEI3_min     , 9.326e+05, 2.29e+06,    0.407, 0.686,-3.69e+06, 5.56e+06
SPEI6_min     , 9.015e+06, 2.22e+07,    0.407, 0.686,-3.57e+07, 5.37e+07
SPEI12_min    ,-1.333e+07, 3.28e+07,   -0.407, 0.686,-7.95e+07, 5.28e+07
SPI1_std      ,-5.647e+06, 1.39e+07,   -0.407, 0.686,-3.37e+07, 2.24e+07
SPI3_std      ,  -1.8e+06, 4.42e+06,   -0.407, 0.686,-1.07e+07, 7.13e+06
SPI6_std      ,-1.143e+06, 2.81e+06,   -0.407, 0.686,-6.81e+06, 4.53e+06
SPI12_std     , 5.866e+06, 1.44e+07,    0.407, 0.686,-2.32e+07,  3.5e+07
SPEI1_std     , 8.201e+06, 2.02e+07,    0.407, 0.686,-3.25e+07, 4.89e+07
SPEI3_std     , 1.321e+07, 3.25e+07,    0.407, 0.686,-5.23e+07, 7.88e+07
SPEI6_std     , 8.879e+06, 2.18e+07,    0.407, 0.686,-3.52e+07, 5.29e+07
SPEI12_std    ,-1.118e+06, 2.75e+06,   -0.407, 0.686,-6.67e+06, 4.43e+06
SWIA_veg_max  , 6.304e+05, 1.55e+06,    0.407, 0.686, -2.5e+06, 3.76e+06
VICI_veg_max  , 5.087e+05, 1.25e+06,    0.407, 0.686,-2.02e+06, 3.03e+06
SWIA_veg_mean , 4.836e+05, 1.19e+06,    0.407, 0.686,-1.92e+06, 2.88e+06
VICI_veg_mean ,-2.236e+06,  5.5e+06,   -0.407, 0.686,-1.33e+07, 8.86e+06
SWIA_veg_min  ,-8.466e+05, 2.08e+06,   -0.407, 0.686,-5.05e+06, 3.35e+06
VICI_veg_min  ,   -0.0012,    0.003,   -0.407, 0.686,   -0.007,    0.005
SWIA_veg_std  ,-1.187e+06, 2.92e+06,   -0.407, 0.686,-7.08e+06,  4.7e+06
VICI_veg_std  , 5.432e+04, 1.34e+05,    0.407, 0.686,-2.15e+05, 3.24e+05
SWIA_veg_count,-1.521e+07, 3.74e+07,   -0.407, 0.686,-9.07e+07, 6.02e+07
VICI_veg_count, 2.414e+06, 5.94e+06,    0.407, 0.686,-9.56e+06, 1.44e+07
SWIA_mat_max  ,-2.377e+05, 5.84e+05,   -0.407, 0.686,-1.42e+06, 9.41e+05
VICI_mat_max  ,-2.025e+05, 4.98e+05,   -0.407, 0.686,-1.21e+06, 8.02e+05
SWIA_mat_mean ,   -2.7655,   10.041,   -0.275, 0.784,  -23.030,   17.499
VICI_mat_mean ,-1.696e+05, 4.17e+05,   -0.407, 0.686,-1.01e+06, 6.72e+05
SWIA_mat_min  ,   -0.9666,    4.125,   -0.234, 0.816,   -9.292,    7.359
VICI_mat_min  ,         0,        0,      nan,   nan,        0,        0
SWIA_mat_std  ,   -4.5897,   19.570,   -0.235, 0.816,  -44.084,   34.905
VICI_mat_std  , 8.593e+05, 2.11e+06,    0.407, 0.686, -3.4e+06, 5.12e+06
SWIA_mat_count, 4.434e+06, 1.09e+07,    0.407, 0.686,-1.76e+07, 2.64e+07
VICI_mat_count,-4.338e+05, 1.07e+06,   -0.407, 0.686,-2.59e+06, 1.72e+06
Omnibus:      ,18.329,  Durbin-Watson:     ,   2.363
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  ,  52.763
Skew:         ,-0.600,  Prob(JB):          ,3.49e-12
Kurtosis:     , 6.717,  Cond. No.          ,1.40e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 5.56e-27. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
