                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.510
Model:           ,OLS             ,  Adj. R-squared:    ,   0.068
Method:          ,Least Squares   ,  F-statistic:       ,   1.153
Date:            ,Thu, 23 Apr 2026,  Prob (F-statistic):, 0.328  
Time:            ,13:57:16        ,  Log-Likelihood:    , -117.35
No. Observations:,    79          ,  AIC:               ,   310.7
Df Residuals:    ,    41          ,  BIC:               ,   400.7
Df Model:        ,    37          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,  -17.2961,   46.746,   -0.370, 0.713, -111.702,   77.110
SPI3_max      ,  -78.6596,  204.832,   -0.384, 0.703, -492.325,  335.006
SPI6_max      ,   66.2803,  213.152,    0.311, 0.757, -364.188,  496.749
SPI12_max     ,  -87.5099,  270.380,   -0.324, 0.748, -633.553,  458.533
SPEI1_max     ,   -6.0045,   23.044,   -0.261, 0.796,  -52.543,   40.534
SPEI3_max     ,   14.1191,   10.103,    1.398, 0.170,   -6.284,   34.522
SPEI6_max     ,  192.7746,  651.064,    0.296, 0.769,-1122.075, 1507.625
SPEI12_max    ,   83.5625,  273.520,    0.306, 0.762, -468.823,  635.948
SPI1_median   , -226.4033,  733.471,   -0.309, 0.759,-1707.678, 1254.871
SPI3_median   , -100.9726,  354.639,   -0.285, 0.777, -817.181,  615.236
SPI6_median   ,    6.0026,   27.898,    0.215, 0.831,  -50.338,   62.343
SPI12_median  ,   35.6887,  113.451,    0.315, 0.755, -193.431,  264.809
SPEI1_median  ,  225.8816,  691.368,    0.327, 0.746,-1170.365, 1622.128
SPEI3_median  ,  -59.9465,  187.146,   -0.320, 0.750, -437.895,  318.002
SPEI6_median  ,  -46.3899,  195.833,   -0.237, 0.814, -441.883,  349.103
SPEI12_median , -139.9591,  451.553,   -0.310, 0.758,-1051.888,  771.970
SPI1_min      ,  -41.0943,  129.309,   -0.318, 0.752, -302.240,  220.051
SPI3_min      ,    0.2623,   15.378,    0.017, 0.986,  -30.794,   31.319
SPI6_min      ,  -50.8106,  177.662,   -0.286, 0.776, -409.606,  307.985
SPI12_min     ,   63.4845,  213.818,    0.297, 0.768, -368.330,  495.299
SPEI1_min     ,  127.0611,  361.182,    0.352, 0.727, -602.361,  856.484
SPEI3_min     ,   58.8399,  169.423,    0.347, 0.730, -283.317,  400.997
SPEI6_min     ,  -51.5467,  134.377,   -0.384, 0.703, -322.927,  219.834
SPEI12_min    ,  -11.2007,   19.592,   -0.572, 0.571,  -50.767,   28.365
SPI1_std      ,   36.6438,   79.364,    0.462, 0.647, -123.635,  196.923
SPI3_std      ,   35.8316,  138.480,    0.259, 0.797, -243.834,  315.497
SPI6_std      , -108.6393,  384.425,   -0.283, 0.779, -885.001,  667.722
SPI12_std     ,  173.6373,  568.562,    0.305, 0.762, -974.597, 1321.871
SPEI1_std     ,  -69.5784,  205.328,   -0.339, 0.736, -484.246,  345.089
SPEI3_std     ,  -53.1584,  194.137,   -0.274, 0.786, -445.226,  338.909
SPEI6_std     ,  -81.0570,  246.571,   -0.329, 0.744, -579.016,  416.902
SPEI12_std    ,    0.8817,   16.329,    0.054, 0.957,  -32.095,   33.859
SWIA_veg_max  ,   18.5493,   59.461,    0.312, 0.757, -101.535,  138.634
VICI_veg_max  ,   -7.2567,   21.681,   -0.335, 0.740,  -51.042,   36.529
SWIA_veg_mean ,   18.0295,   58.898,    0.306, 0.761, -100.917,  136.976
VICI_veg_mean ,   12.4122,   37.134,    0.334, 0.740,  -62.582,   87.407
SWIA_veg_min  ,  -36.0043,  115.574,   -0.312, 0.757, -269.412,  197.403
VICI_veg_min  ,   -6.9837,   22.327,   -0.313, 0.756,  -52.074,   38.106
SWIA_veg_std  ,  -55.3795,  178.042,   -0.311, 0.757, -414.943,  304.184
VICI_veg_std  ,   11.9101,   34.721,    0.343, 0.733,  -58.210,   82.031
SWIA_veg_count, -120.8086,  361.491,   -0.334, 0.740, -850.854,  609.237
VICI_veg_count,  -50.9402,  150.185,   -0.339, 0.736, -354.244,  252.364
SWIA_mat_max  ,    1.8496,    5.361,    0.345, 0.732,   -8.977,   12.677
VICI_mat_max  ,         0,        0,      nan,   nan,        0,        0
SWIA_mat_mean ,   -0.0308,    1.405,   -0.022, 0.983,   -2.869,    2.808
VICI_mat_mean ,         0,        0,      nan,   nan,        0,        0
SWIA_mat_min  ,    1.4354,    5.369,    0.267, 0.791,   -9.408,   12.279
VICI_mat_min  ,         0,        0,      nan,   nan,        0,        0
SWIA_mat_std  ,    0.3129,    0.952,    0.329, 0.744,   -1.609,    2.235
VICI_mat_std  ,         0,        0,      nan,   nan,        0,        0
SWIA_mat_count,   33.1528,  111.533,    0.297, 0.768, -192.093,  258.399
VICI_mat_count,         0,        0,      nan,   nan,        0,        0
Omnibus:      ,32.210,  Durbin-Watson:     ,   2.388
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  , 163.772
Skew:         , 1.006,  Prob(JB):          ,2.74e-36
Kurtosis:     , 9.760,  Cond. No.          ,1.31e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 4.9e-27. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
