                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.554
Model:           ,OLS             ,  Adj. R-squared:    ,   0.230
Method:          ,Least Squares   ,  F-statistic:       ,   1.708
Date:            ,Thu, 23 Apr 2026,  Prob (F-statistic):,0.0282  
Time:            ,14:09:35        ,  Log-Likelihood:    , -216.32
No. Observations:,   103          ,  AIC:               ,   520.6
Df Residuals:    ,    59          ,  BIC:               ,   636.6
Df Model:        ,    43          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,   -8.2225,   35.540,   -0.231, 0.818,  -79.338,   62.893
SPI3_max      ,   36.0115,   93.230,    0.386, 0.701, -150.542,  222.565
SPI6_max      ,    9.9673,   37.333,    0.267, 0.790,  -64.737,   84.671
SPI12_max     ,   25.1409,   59.257,    0.424, 0.673,  -93.433,  143.715
SPEI1_max     ,   51.0631,  134.509,    0.380, 0.706, -218.089,  320.215
SPEI3_max     ,  -35.1359,   76.727,   -0.458, 0.649, -188.665,  118.394
SPEI6_max     ,   57.6393,  146.556,    0.393, 0.696, -235.619,  350.898
SPEI12_max    ,  -51.3376,  119.909,   -0.428, 0.670, -291.275,  188.600
SPI1_median   ,   18.1597,   48.896,    0.371, 0.712,  -79.681,  116.000
SPI3_median   ,  -11.1934,   25.255,   -0.443, 0.659,  -61.730,   39.343
SPI6_median   ,  -23.9517,   60.250,   -0.398, 0.692, -144.512,   96.608
SPI12_median  ,    6.3479,   12.538,    0.506, 0.615,  -18.740,   31.436
SPEI1_median  ,  -23.7379,   53.440,   -0.444, 0.659, -130.670,   83.194
SPEI3_median  ,   67.8735,  154.502,    0.439, 0.662, -241.284,  377.031
SPEI6_median  ,   30.8448,   83.848,    0.368, 0.714, -136.934,  198.624
SPEI12_median ,   -5.0455,   17.919,   -0.282, 0.779,  -40.901,   30.810
SPI1_min      ,   -6.6482,    6.304,   -1.055, 0.296,  -19.263,    5.967
SPI3_min      ,  -42.3586,  123.340,   -0.343, 0.732, -289.162,  204.444
SPI6_min      ,   29.9707,   72.518,    0.413, 0.681, -115.137,  175.078
SPI12_min     ,  -14.4413,   47.472,   -0.304, 0.762, -109.432,   80.550
SPEI1_min     ,  -48.5723,  136.654,   -0.355, 0.724, -322.017,  224.873
SPEI3_min     ,  -95.6903,  252.164,   -0.379, 0.706, -600.268,  408.888
SPEI6_min     ,  -13.6407,   40.934,   -0.333, 0.740,  -95.549,   68.267
SPEI12_min    ,    0.3320,    7.421,    0.045, 0.964,  -14.518,   15.182
SPI1_std      ,  -23.3878,   23.915,   -0.978, 0.332,  -71.241,   24.466
SPI3_std      ,    3.8127,   22.493,    0.170, 0.866,  -41.195,   48.821
SPI6_std      ,  -59.8182,  170.208,   -0.351, 0.727, -400.404,  280.767
SPI12_std     ,  -29.6329,   84.567,   -0.350, 0.727, -198.850,  139.585
SPEI1_std     , -132.8226,  365.214,   -0.364, 0.717, -863.614,  597.968
SPEI3_std     ,  -33.5770,  111.645,   -0.301, 0.765, -256.977,  189.823
SPEI6_std     ,  -28.7607,  102.111,   -0.282, 0.779, -233.085,  175.563
SPEI12_std    ,  -66.2829,  174.507,   -0.380, 0.705, -415.470,  282.904
SWIA_veg_max  ,   14.8802,   39.333,    0.378, 0.707,  -63.825,   93.585
VICI_veg_max  ,   -2.4209,    5.886,   -0.411, 0.682,  -14.198,    9.357
SWIA_veg_mean ,   39.5133,  106.183,    0.372, 0.711, -172.959,  251.985
VICI_veg_mean ,   -4.6307,   11.580,   -0.400, 0.691,  -27.803,   18.541
SWIA_veg_min  ,  -48.6228,  129.426,   -0.376, 0.709, -307.604,  210.359
VICI_veg_min  ,    7.8350,   18.834,    0.416, 0.679,  -29.852,   45.522
SWIA_veg_std  ,  -52.7178,  139.788,   -0.377, 0.707, -332.434,  226.998
VICI_veg_std  ,    4.8835,   12.107,    0.403, 0.688,  -19.343,   29.110
SWIA_veg_count,  -34.7908,   97.714,   -0.356, 0.723, -230.315,  160.733
VICI_veg_count,   61.1170,  151.902,    0.402, 0.689, -242.837,  365.072
SWIA_mat_max  ,   -1.8353,    6.267,   -0.293, 0.771,  -14.376,   10.705
VICI_mat_max  ,   -2.1717,    5.122,   -0.424, 0.673,  -12.420,    8.077
SWIA_mat_mean ,    5.0594,   12.548,    0.403, 0.688,  -20.048,   30.167
VICI_mat_mean ,   -1.3432,    3.168,   -0.424, 0.673,   -7.682,    4.996
SWIA_mat_min  ,   -3.7697,    8.413,   -0.448, 0.656,  -20.603,   13.064
VICI_mat_min  ,         0,        0,      nan,   nan,        0,        0
SWIA_mat_std  ,   -8.5270,   18.812,   -0.453, 0.652,  -46.170,   29.116
VICI_mat_std  ,   -0.8950,    2.111,   -0.424, 0.673,   -5.118,    3.329
SWIA_mat_count,    5.3089,   11.383,    0.466, 0.643,  -17.469,   28.087
VICI_mat_count,   -0.1303,    0.307,   -0.424, 0.673,   -0.745,    0.485
Omnibus:      ,19.722,  Durbin-Watson:     ,   2.202
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  ,  47.664
Skew:         ,-0.654,  Prob(JB):          ,4.47e-11
Kurtosis:     , 6.065,  Cond. No.          ,1.36e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 7.7e-27. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
