                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.671
Model:           ,OLS             ,  Adj. R-squared:    ,   0.359
Method:          ,Least Squares   ,  F-statistic:       ,   2.147
Date:            ,Thu, 23 Apr 2026,  Prob (F-statistic):,0.00932 
Time:            ,14:28:33        ,  Log-Likelihood:    , -156.10
No. Observations:,    79          ,  AIC:               ,   390.2
Df Residuals:    ,    40          ,  BIC:               ,   482.6
Df Model:        ,    38          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,   -0.2789,    2.836,   -0.098, 0.922,   -6.010,    5.452
SPI3_max      ,    5.1383,   32.180,    0.160, 0.874,  -59.900,   70.176
SPI6_max      ,   -0.9828,    8.145,   -0.121, 0.905,  -17.444,   15.478
SPI12_max     ,    0.7166,    8.342,    0.086, 0.932,  -16.143,   17.576
SPEI1_max     ,   -1.0596,   18.816,   -0.056, 0.955,  -39.088,   36.969
SPEI3_max     ,   -5.8640,   15.017,   -0.390, 0.698,  -36.214,   24.486
SPEI6_max     ,    4.2755,   18.989,    0.225, 0.823,  -34.102,   42.653
SPEI12_max    ,   -3.5937,   11.676,   -0.308, 0.760,  -27.193,   20.005
SPI1_median   ,    0.0448,   10.911,    0.004, 0.997,  -22.006,   22.096
SPI3_median   ,   13.0015,   51.380,    0.253, 0.802,  -90.841,  116.844
SPI6_median   ,   -1.4469,   14.136,   -0.102, 0.919,  -30.016,   27.123
SPI12_median  ,    0.2956,    3.629,    0.081, 0.935,   -7.039,    7.631
SPEI1_median  ,   -1.3413,    8.311,   -0.161, 0.873,  -18.139,   15.456
SPEI3_median  ,    0.5009,    4.358,    0.115, 0.909,   -8.307,    9.308
SPEI6_median  ,   -3.6373,    6.568,   -0.554, 0.583,  -16.911,    9.637
SPEI12_median ,    1.2938,   11.648,    0.111, 0.912,  -22.248,   24.836
SPI1_min      ,   -0.7609,    2.291,   -0.332, 0.742,   -5.392,    3.870
SPI3_min      ,    7.5497,   28.548,    0.264, 0.793,  -50.149,   65.248
SPI6_min      ,   -1.4382,   10.287,   -0.140, 0.890,  -22.230,   19.354
SPI12_min     ,   -0.0845,    3.030,   -0.028, 0.978,   -6.209,    6.040
SPEI1_min     ,    1.3019,    5.339,    0.244, 0.809,   -9.489,   12.093
SPEI3_min     ,   -0.0539,    6.174,   -0.009, 0.993,  -12.532,   12.424
SPEI6_min     ,   -2.1126,    5.383,   -0.392, 0.697,  -12.992,    8.767
SPEI12_min    ,   -4.3934,   24.506,   -0.179, 0.859,  -53.923,   45.136
SPI1_std      ,   -1.9344,    5.339,   -0.362, 0.719,  -12.726,    8.857
SPI3_std      ,    3.2251,   25.786,    0.125, 0.901,  -48.890,   55.340
SPI6_std      ,    3.3522,   13.790,    0.243, 0.809,  -24.518,   31.222
SPI12_std     ,   -1.7101,   14.066,   -0.122, 0.904,  -30.138,   26.717
SPEI1_std     ,   -2.1065,    8.599,   -0.245, 0.808,  -19.485,   15.272
SPEI3_std     ,    1.6833,    6.112,    0.275, 0.784,  -10.669,   14.036
SPEI6_std     ,   -2.6640,   23.232,   -0.115, 0.909,  -49.618,   44.290
SPEI12_std    ,   -3.2129,    8.916,   -0.360, 0.720,  -21.232,   14.807
SWIA_veg_max  ,    0.2495,    2.258,    0.110, 0.913,   -4.313,    4.812
VICI_veg_max  ,   -1.2776,    4.114,   -0.311, 0.758,   -9.593,    7.038
SWIA_veg_mean ,   -0.7703,    2.803,   -0.275, 0.785,   -6.435,    4.894
VICI_veg_mean ,    0.5841,    2.350,    0.249, 0.805,   -4.164,    5.333
SWIA_veg_min  ,   -0.1471,    1.680,   -0.088, 0.931,   -3.542,    3.248
VICI_veg_min  ,    0.2776,    2.369,    0.117, 0.907,   -4.510,    5.065
SWIA_veg_std  ,   -0.4477,    3.716,   -0.120, 0.905,   -7.957,    7.062
VICI_veg_std  ,    2.3637,    8.141,    0.290, 0.773,  -14.090,   18.818
SWIA_veg_count,    2.7348,    9.455,    0.289, 0.774,  -16.374,   21.844
VICI_veg_count,    1.5500,    3.715,    0.417, 0.679,   -5.959,    9.059
SWIA_mat_max  ,   -0.1633,    1.149,   -0.142, 0.888,   -2.486,    2.159
VICI_mat_max  ,   -0.1914,    3.597,   -0.053, 0.958,   -7.462,    7.079
SWIA_mat_mean ,    0.5721,    1.707,    0.335, 0.739,   -2.878,    4.022
VICI_mat_mean ,    1.0099,    7.584,    0.133, 0.895,  -14.318,   16.338
SWIA_mat_min  ,   -0.2429,    1.619,   -0.150, 0.881,   -3.515,    3.029
VICI_mat_min  ,         0,        0,      nan,   nan,        0,        0
SWIA_mat_std  ,   -0.6258,    4.513,   -0.139, 0.890,   -9.747,    8.496
VICI_mat_std  ,   -0.0062,    0.798,   -0.008, 0.994,   -1.619,    1.607
SWIA_mat_count,    1.5618,    5.780,    0.270, 0.788,  -10.120,   13.243
VICI_mat_count,   -0.2139,    2.009,   -0.106, 0.916,   -4.275,    3.847
Omnibus:      , 8.682,  Durbin-Watson:     ,   2.120
Prob(Omnibus):, 0.013,  Jarque-Bera (JB):  ,  17.744
Skew:         , 0.185,  Prob(JB):          ,0.000140
Kurtosis:     , 5.292,  Cond. No.          ,1.38e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 8.96e-27. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
