                          OLS Regression Results                          
Dep. Variable:   ,yield           ,  R-squared (uncentered):     ,   0.112
Model:           ,OLS             ,  Adj. R-squared (uncentered):,  -0.148
Method:          ,Least Squares   ,  F-statistic:                ,  0.4302
Date:            ,Fri, 24 Apr 2026,  Prob (F-statistic):         , 0.979  
Time:            ,12:04:45        ,  Log-Likelihood:             , -148.39
No. Observations:,    84          ,  AIC:                        ,   334.8
Df Residuals:    ,    65          ,  BIC:                        ,   381.0
Df Model:        ,    19          ,                              ,        
Covariance Type: ,nonrobust       ,                              ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SWIA_veg_max  ,   -0.0228,    0.498,   -0.046, 0.964,   -1.018,    0.973
VICI_veg_max  ,    0.1741,    0.654,    0.266, 0.791,   -1.131,    1.480
SWIA_veg_mean ,    0.0082,    0.203,    0.040, 0.968,   -0.397,    0.414
VICI_veg_mean ,   -0.2057,    0.685,   -0.300, 0.765,   -1.573,    1.162
SWIA_veg_min  ,   -0.0270,    0.238,   -0.113, 0.910,   -0.502,    0.448
VICI_veg_min  ,    0.1275,    0.767,    0.166, 0.869,   -1.405,    1.660
SWIA_veg_std  ,   -0.1184,    0.423,   -0.280, 0.780,   -0.962,    0.726
VICI_veg_std  ,   -0.2083,    1.143,   -0.182, 0.856,   -2.491,    2.074
SWIA_veg_count,    0.0560,    5.460,    0.010, 0.992,  -10.849,   10.961
VICI_veg_count,    0.9494,    5.211,    0.182, 0.856,   -9.458,   11.356
SWIA_mat_max  ,   -0.1267,    0.239,   -0.530, 0.598,   -0.604,    0.350
VICI_mat_max  ,   -3.9545,   33.351,   -0.119, 0.906,  -70.561,   62.652
SWIA_mat_mean ,    0.0585,    0.100,    0.584, 0.561,   -0.141,    0.258
VICI_mat_mean ,   -0.5273,    2.136,   -0.247, 0.806,   -4.792,    3.738
SWIA_mat_min  ,    0.1026,    0.093,    1.105, 0.273,   -0.083,    0.288
VICI_mat_min  ,-3.875e-15, 3.23e-14,   -0.120, 0.905,-6.83e-14, 6.06e-14
SWIA_mat_std  ,    0.2891,    0.284,    1.016, 0.313,   -0.279,    0.857
VICI_mat_std  ,   18.2599,  143.572,    0.127, 0.899, -268.472,  304.992
SWIA_mat_count,    0.1728,    1.397,    0.124, 0.902,   -2.618,    2.963
VICI_mat_count,  -13.1989,   94.913,   -0.139, 0.890, -202.753,  176.356
Omnibus:      ,33.859,  Durbin-Watson:     ,   2.231
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  ,  85.592
Skew:         , 1.366,  Prob(JB):          ,2.59e-19
Kurtosis:     , 7.122,  Cond. No.          ,3.92e+18

Notes:
[1] R² is computed without centering (uncentered) since the model does not contain a constant.
[2] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[3] The smallest eigenvalue is 6.79e-32. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
