                          OLS Regression Results                          
Dep. Variable:   ,yield           ,  R-squared (uncentered):     ,   0.035
Model:           ,OLS             ,  Adj. R-squared (uncentered):,  -0.203
Method:          ,Least Squares   ,  F-statistic:                ,  0.1470
Date:            ,Fri, 24 Apr 2026,  Prob (F-statistic):         ,  1.00  
Time:            ,11:50:40        ,  Log-Likelihood:             , -155.10
No. Observations:,    86          ,  AIC:                        ,   344.2
Df Residuals:    ,    69          ,  BIC:                        ,   385.9
Df Model:        ,    17          ,                              ,        
Covariance Type: ,nonrobust       ,                              ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SWIA_veg_max  ,    1.0220,    5.757,    0.178, 0.860,  -10.463,   12.507
VICI_veg_max  ,   -0.2414,    1.583,   -0.152, 0.879,   -3.400,    2.917
SWIA_veg_mean ,   -0.2922,    1.762,   -0.166, 0.869,   -3.808,    3.224
VICI_veg_mean ,   -0.3687,    2.012,   -0.183, 0.855,   -4.382,    3.645
SWIA_veg_min  ,   -0.7160,    3.832,   -0.187, 0.852,   -8.361,    6.929
VICI_veg_min  ,    0.9256,    5.439,    0.170, 0.865,   -9.925,   11.777
SWIA_veg_std  ,   -1.8605,   10.188,   -0.183, 0.856,  -22.186,   18.465
VICI_veg_std  ,    0.8599,    5.369,    0.160, 0.873,   -9.851,   11.571
SWIA_veg_count,   -1.5365,    6.587,   -0.233, 0.816,  -14.676,   11.603
VICI_veg_count,    0.7857,    4.273,    0.184, 0.855,   -7.738,    9.310
SWIA_mat_max  ,    0.0119,    0.178,    0.067, 0.947,   -0.342,    0.366
VICI_mat_max  ,   -0.7827,    4.306,   -0.182, 0.856,   -9.373,    7.807
SWIA_mat_mean ,   -0.0305,    0.064,   -0.477, 0.635,   -0.158,    0.097
VICI_mat_mean ,    1.3800,    7.313,    0.189, 0.851,  -13.209,   15.969
SWIA_mat_min  ,    0.0145,    0.196,    0.074, 0.941,   -0.377,    0.406
VICI_mat_min  ,-2.404e-15, 1.26e-14,   -0.190, 0.850,-2.76e-14, 2.28e-14
SWIA_mat_std  ,   -0.0034,    0.326,   -0.010, 0.992,   -0.654,    0.647
VICI_mat_std  ,   -0.1945,    1.086,   -0.179, 0.858,   -2.361,    1.972
SWIA_mat_count,    0.8197,    3.330,    0.246, 0.806,   -5.824,    7.464
VICI_mat_count,    0.0369,    0.189,    0.195, 0.846,   -0.340,    0.414
Omnibus:      ,28.549,  Durbin-Watson:     ,   2.027
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  ,  61.142
Skew:         , 1.191,  Prob(JB):          ,5.29e-14
Kurtosis:     , 6.375,  Cond. No.          ,1.34e+20

Notes:
[1] R² is computed without centering (uncentered) since the model does not contain a constant.
[2] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[3] The smallest eigenvalue is 4.92e-35. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
