                          OLS Regression Results                          
Dep. Variable:   ,yield           ,  R-squared (uncentered):     ,   0.662
Model:           ,OLS             ,  Adj. R-squared (uncentered):,   0.569
Method:          ,Least Squares   ,  F-statistic:                ,   7.134
Date:            ,Fri, 24 Apr 2026,  Prob (F-statistic):         ,3.69e-09
Time:            ,12:19:57        ,  Log-Likelihood:             , -173.11
No. Observations:,    79          ,  AIC:                        ,   380.2
Df Residuals:    ,    62          ,  BIC:                        ,   420.5
Df Model:        ,    17          ,                              ,        
Covariance Type: ,nonrobust       ,                              ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SWIA_veg_max  ,   -0.1005,    0.111,   -0.902, 0.370,   -0.323,    0.122
VICI_veg_max  ,    0.0659,    0.150,    0.440, 0.662,   -0.233,    0.365
SWIA_veg_mean ,   -0.0327,    0.082,   -0.401, 0.690,   -0.196,    0.130
VICI_veg_mean ,    0.0104,    0.128,    0.081, 0.936,   -0.246,    0.266
SWIA_veg_min  ,    0.2441,    0.135,    1.811, 0.075,   -0.025,    0.514
VICI_veg_min  ,   -0.0471,    0.324,   -0.145, 0.885,   -0.695,    0.600
SWIA_veg_std  ,    0.4432,    0.233,    1.906, 0.061,   -0.022,    0.908
VICI_veg_std  ,   -0.1666,    0.370,   -0.451, 0.654,   -0.906,    0.573
SWIA_veg_count,   -0.3674,    0.508,   -0.724, 0.472,   -1.382,    0.647
VICI_veg_count,   -0.0238,    0.830,   -0.029, 0.977,   -1.684,    1.636
SWIA_mat_max  ,    0.0219,    0.079,    0.278, 0.782,   -0.135,    0.179
VICI_mat_max  ,    0.4775,    0.237,    2.016, 0.048,    0.004,    0.951
SWIA_mat_mean ,   -0.0574,    0.055,   -1.042, 0.302,   -0.168,    0.053
VICI_mat_mean ,   -1.2007,    0.720,   -1.668, 0.100,   -2.640,    0.239
SWIA_mat_min  ,   -0.0592,    0.063,   -0.937, 0.352,   -0.186,    0.067
VICI_mat_min  , 3.819e-17, 1.99e-16,    0.191, 0.849,-3.61e-16, 4.37e-16
SWIA_mat_std  ,   -0.1900,    0.142,   -1.341, 0.185,   -0.473,    0.093
VICI_mat_std  ,    0.3294,    0.171,    1.922, 0.059,   -0.013,    0.672
SWIA_mat_count,    0.0418,    0.385,    0.109, 0.914,   -0.728,    0.811
VICI_mat_count,    1.0328,    0.587,    1.760, 0.083,   -0.140,    2.206
Omnibus:      ,13.468,  Durbin-Watson:     ,   2.239
Prob(Omnibus):, 0.001,  Jarque-Bera (JB):  ,  16.858
Skew:         ,-0.784,  Prob(JB):          ,0.000218
Kurtosis:     , 4.633,  Cond. No.          ,3.39e+20

Notes:
[1] R² is computed without centering (uncentered) since the model does not contain a constant.
[2] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[3] The smallest eigenvalue is 1.43e-35. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
