Cluster,Timestep_1,Timestep_2,Timestep_3,Timestep_4,Timestep_5,Timestep_6,Timestep_7,Timestep_8,Timestep_9,Timestep_10,Timestep_11,Timestep_12,Timestep_13,Timestep_14,Timestep_15,Timestep_16,Timestep_17,Timestep_18,Timestep_19,Timestep_20,Timestep_21,Timestep_22,Timestep_23,Timestep_24,Timestep_25,Timestep_26,Timestep_27,Timestep_28,Timestep_29,Timestep_30,Timestep_31,Timestep_32,Timestep_33,Timestep_34,Timestep_35,Timestep_36,Timestep_37,Timestep_38,Timestep_39,Timestep_40,Timestep_41,Timestep_42,Timestep_43,Timestep_44,Timestep_45,Timestep_46,Timestep_47,Timestep_48,Timestep_49,Timestep_50,Timestep_51,Timestep_52,Timestep_53,Timestep_54,Timestep_55,Timestep_56,Timestep_57,Timestep_58,Timestep_59,Timestep_60,Timestep_61,Timestep_62,Timestep_63,Timestep_64,Timestep_65,Timestep_66,Timestep_67,Timestep_68,Timestep_69,Timestep_70,Timestep_71,Timestep_72,Timestep_73,Timestep_74,Timestep_75,Timestep_76,Timestep_77,Timestep_78,Timestep_79,Timestep_80,Timestep_81,Timestep_82,Timestep_83,Timestep_84,Timestep_85,Timestep_86,Timestep_87,Timestep_88,Timestep_89,Timestep_90,Timestep_91,Timestep_92,Timestep_93,Timestep_94,Timestep_95,Timestep_96,Timestep_97,Timestep_98,Timestep_99,Timestep_100,Timestep_101,Timestep_102,Timestep_103,Timestep_104,Timestep_105,Timestep_106,Timestep_107,Timestep_108,Timestep_109,Timestep_110,Timestep_111,Timestep_112,Timestep_113,Timestep_114,Timestep_115,Timestep_116,Timestep_117,Timestep_118,Timestep_119,Timestep_120,Timestep_121,Timestep_122,Timestep_123,Timestep_124,Timestep_125,Timestep_126,Timestep_127,Timestep_128,Timestep_129,Timestep_130,Timestep_131,Timestep_132,Timestep_133,Timestep_134,Timestep_135,Timestep_136,Timestep_137,Timestep_138,Timestep_139,Timestep_140,Timestep_141,Timestep_142,Timestep_143,Timestep_144,Timestep_145,Timestep_146,Timestep_147,Timestep_148,Timestep_149,Timestep_150,Timestep_151,Timestep_152,Timestep_153,Timestep_154,Timestep_155,Timestep_156,Timestep_157,Timestep_158,Timestep_159,Timestep_160,Timestep_161,Timestep_162,Timestep_163,Timestep_164,Timestep_165,Timestep_166,Timestep_167,Timestep_168,Timestep_169,Timestep_170,Timestep_171,Timestep_172,Timestep_173,Timestep_174,Timestep_175,Timestep_176,Timestep_177,Timestep_178,Timestep_179,Timestep_180,Timestep_181,Timestep_182,a0,amplitude1,phase1,amplitude2,phase2,amplitude3,phase3
0,-0.2811479,-2.751645,-0.21726571,-3.2023299,-0.291294,-0.27690297,-0.27109072,-0.28841752,-0.27890018,-0.24297154,-0.2278624,-0.24492629,-0.19795057,-0.15300599,-0.12441173,-0.116903424,-0.058190703,-0.017469376,0.016648287,0.035084233,0.16312036,0.22169232,0.29454538,0.33869526,0.34129363,0.3059527,0.2885518,0.0641384,-0.03068359,-0.055059575,-1.0776193,0.037887633,-0.23232487,-0.3604203,-0.176878,-0.12368529,-0.28944644,-2.7664049,-0.24602476,-3.2209036,-0.32895717,-0.2950154,-0.27324083,-0.29507953,-0.28698114,-0.26093954,-0.2386656,-0.24685447,-0.20374624,-0.1568348,-0.10143009,-0.07656988,-0.0013357796,0.051097967,0.09095042,0.08061162,0.18702537,0.2511163,0.33014575,0.37454706,0.369189,0.3410011,0.31660292,0.09245064,-0.02807244,-0.050823852,-1.0645391,0.060848497,-0.21170254,-0.33130556,-0.15317462,-0.10223172,-0.4706651,-2.9496949,-0.41183105,-3.3682585,-0.47549734,-0.46070582,-0.4352633,-0.4366539,-0.4273753,-0.40142754,-0.36950743,-0.35618478,-0.28603163,-0.22814661,-0.1744434,-0.13837649,-0.059026346,0.0041334135,0.05735801,0.078246735,0.16629219,0.19815479,0.22816779,0.23177567,0.21592863,0.19397792,0.14115416,-0.07485719,-0.16983223,-0.18734556,-1.1656795,-0.06029866,-0.32558286,-0.47563717,-0.31703004,-0.2830202,-0.9978176,-3.4644272,-0.87775135,-3.8440785,-0.91446376,-0.8801369,-0.84141487,-0.836154,-0.8343834,-0.805727,-0.775586,-0.79350376,-0.7804584,-0.7428985,-0.6918246,-0.6825579,-0.64060026,-0.6212195,-0.60581434,-0.6322004,-0.58435684,-0.5851954,-0.59224826,-0.62568784,-0.6797459,-0.7407101,-0.79974514,-1.0199214,-1.0965378,-1.0549651,-1.9804198,-0.8843892,-1.0725955,-1.17216,-0.95875984,-0.86786735,-0.38821256,-2.8616955,-0.32083032,-3.303266,-0.40556046,-0.38908607,-0.36424497,-0.37602207,-0.38052613,-0.35225824,-0.31496766,-0.31637886,-0.25417408,-0.18865909,-0.14651962,-0.11396763,-0.053736906,-0.012237592,0.028824853,0.041119475,0.14059797,0.18933897,0.2484761,0.3182962,0.3287932,0.2954392,0.26200235,0.059660308,-0.064667344,-0.09041241,-1.099057,-0.0035504554,-0.28093112,-0.41261038,-0.24244142,-0.20863539,-0.23568186,-0.037380654,0.12502581,0.083654635,0.6468141,-0.37782213,-0.11441783,-0.4500521,-0.2848541
1,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,0.22606376,0.16259015,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102,-10104.102
2,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,-9985.757,0.5234969,-0.32129112,-0.08235929,-0.7161125,0.45523682,-0.56145936,0.4814412,-0.70630795,0.33638197
3,-38.088028,-137.7897,-61.194748,-153.2143,0.097932294,-3.7188694,-3.6961837,-3.6416092,0.26553145,0.33250573,0.36404458,0.39829883,0.42689654,0.43562424,0.41922644,0.36817765,0.33293393,0.29504383,0.24227257,0.20409273,0.20037825,0.1749627,0.16385654,0.15916672,-7.5063543,0.15689561,-3.6437554,-3.6270053,-3.5926325,-156.86998,-310.1695,0.29339072,0.3053344,0.30494446,-3912.8093,-9999.344,-37.984756,-137.68594,-61.084576,-153.06801,0.25091556,-3.5443175,-3.5001247,-3.4735281,0.41832533,0.46203297,0.49093896,0.52025646,0.53393877,0.5232316,0.535058,0.50291514,0.49481508,0.46882427,0.43012354,0.3748763,0.35704187,0.3496739,0.3549314,0.35772702,-7.3130302,0.35336205,-3.4622145,-3.4593022,-3.4614713,-156.74385,-310.04044,0.4309896,0.43167803,0.443932,-3912.7134,-9999.344,-37.803326,-137.47046,-60.83406,-152.79999,0.53341025,-3.2872918,-3.2720208,-3.2482417,0.60844874,0.62768465,0.6538649,0.6878962,0.6985555,0.70326984,0.7106769,0.70659214,0.6994294,0.7092322,0.7080175,0.7183497,0.7197192,0.72007376,0.7066172,0.6977448,-6.973328,0.6897206,-3.1532724,-3.1597974,-3.1582837,-156.47269,-309.76443,0.664664,0.6767251,0.6385557,-3912.6123,-9999.344,-38.739166,-138.39212,-61.711025,-153.54172,-0.21608952,-4.0049386,-3.967403,-3.9642158,-0.14367056,-0.16537184,-0.20314428,-0.24170004,-0.331824,-0.34011737,-0.25948852,-0.25277922,-0.2332078,-0.19967243,-0.1647005,-0.13156568,-0.100584656,-0.05987537,-0.04718599,-0.055267844,-7.735737,-0.08754818,-3.952738,-3.9998665,-4.0410833,-157.36322,-310.68182,-0.46171728,-0.4196347,-0.50832874,-3913.3271,-9999.344,-37.974304,-137.67035,-61.04849,-153.03787,0.28137782,-3.5210054,-3.4809716,-3.436836,0.44080588,0.48598135,0.525648,0.55428344,0.5742594,0.5822992,0.5642864,0.5387135,0.5077036,0.47875828,0.447828,0.41519123,0.39348355,0.3708276,0.35294524,0.3722055,-7.28648,0.37447032,-3.4479702,-3.422341,-3.4216752,-156.70694,-309.99762,0.45030087,0.456764,0.45907292,-3912.708,-9999.344,0.62947047,-0.49288425,0.53318006,-0.6744297,0.20866011,-0.32161313,0.5125456,-0.64801574,0.40528867
4,-389.54758,-324.67227,-0.08309689,-454.60693,-0.09117965,-0.077888004,-0.05988267,-0.010805462,0.048573483,-64.824745,0.1305713,0.16194421,-129.66568,0.20364824,-324.44745,0.1509538,-64.7872,0.11954713,0.09594069,0.07067275,0.07019916,0.049852278,0.048218165,0.040178586,0.033005897,0.024751343,-64.88474,-324.61725,-2207.5452,-4220.3286,-6233.1235,-9284.823,-9999.006,-9674.391,-9284.783,-9479.577,-389.44846,-324.5655,0.013481468,-454.48392,0.034643196,0.0713297,0.10927118,0.13164568,0.18616915,-64.69766,0.2531985,0.28269055,-129.55034,0.30960163,-324.30762,0.32161775,-64.60894,0.3100401,0.28045207,0.23048507,0.2149264,0.21094468,0.20922384,0.21269177,0.21080188,0.2153842,-64.694405,-324.41614,-2207.4038,-4220.2153,-6233.0415,-9284.817,-9999.006,-9674.391,-9284.77,-9479.569,-389.1366,-324.21652,0.4087108,-454.07874,0.44311824,0.44683096,0.45309293,0.4647581,0.4755721,-64.440636,0.5027701,0.53879267,-129.29613,0.5782004,-324.03806,0.6074299,-64.31725,0.62436855,0.6248557,0.62530214,0.6250862,0.6277502,0.6133166,0.6009669,0.5942928,0.6075998,-64.32262,-324.054,-2207.0789,-4220.006,-6232.922,-9284.773,-9999.006,-9674.338,-9284.736,-9479.551,-389.8469,-324.944,-0.28405988,-454.61398,-0.1118117,-0.07200141,-0.034876708,-0.030108223,-0.039624583,-64.98792,-0.08999412,-0.116561405,-130.06448,-0.19710328,-324.73972,-0.09193119,-65.02324,-0.08560359,-0.08240052,-0.07222251,-0.05509337,-0.018614462,-0.0048736394,-0.0047702193,-0.0068896017,-0.0015832154,-64.93993,-324.67374,-2207.6106,-4220.396,-6233.1855,-9284.799,-9999.006,-9674.341,-9284.811,-9479.6,-389.4394,-324.55035,0.052254114,-454.44907,0.070094086,0.09556,0.1283125,0.16551763,0.2050238,-64.682144,0.27936563,0.309547,-129.51788,0.36157748,-324.2794,0.3493411,-64.5992,0.31210354,0.2892888,0.2623842,0.24238458,0.21787864,0.19403891,0.21786821,0.22938481,0.22701372,-64.69466,-324.3951,-2207.3862,-4220.205,-6233.0415,-9284.813,-9999.006,-9674.38,-9284.767,-9479.569,0.46184847,-0.50628763,0.35107,-0.48544544,-0.19496416,-0.49200568,0.4050021,-0.65954405,-0.019949155
5,-295.84616,-705.2626,-9999.001,-269.90448,-26.042032,0.09517409,0.11744803,-8.526684,0.26394004,0.3392552,0.3762842,0.40949142,0.44043761,0.45394275,0.44419014,0.40612802,0.3847857,0.3604393,0.32119587,0.2913053,0.29569334,0.27561647,0.26830634,0.27022985,0.2770171,0.28362626,0.32364288,0.33982104,0.36634222,-95.42407,-138.98161,-17.026636,-17.022583,-51.87153,-25.763405,-400.3518,-295.74283,-705.15784,-9999.001,-269.76123,-25.892609,0.27080858,0.32267556,-8.354287,0.41872877,0.4690096,0.5014568,0.5296342,0.5394615,0.530741,0.55100745,0.52797097,0.53351444,0.51972085,0.49448892,0.4544908,0.45114955,0.45286497,0.46572733,0.46982917,0.463722,0.4661014,0.48366433,0.4840271,0.48061237,-95.31208,-138.86298,-16.90262,-16.905235,-51.73933,-25.631472,-400.2168,-295.7305,-705.14545,-9999.001,-269.66104,-25.75957,0.38303936,0.4087358,-8.264774,0.48304835,0.51702654,0.55321497,0.5979489,0.61934793,0.63249594,0.6427646,0.6435796,0.6409995,0.65633553,0.6572172,0.6666198,0.66695607,0.6686047,0.65608996,0.64580846,0.63982654,0.6429541,0.63234174,0.6244087,0.6259498,-95.19447,-138.72542,-16.80061,-16.792742,-51.68491,-25.60603,-400.20575,-296.66272,-706.03357,-9999.001,-270.39362,-26.478119,-0.3013357,-0.2619501,-8.964902,-0.25957692,-0.27683738,-0.30807874,-0.33954406,-0.41377407,-0.41763344,-0.3496161,-0.34984377,-0.33749986,-0.30914423,-0.2786425,-0.25062343,-0.2222503,-0.18461469,-0.17557646,-0.1860255,-0.20483433,-0.22699253,-0.2657044,-0.3174134,-0.3578004,-96.18868,-139.75063,-17.97926,-17.945887,-52.86119,-26.764048,-401.2501,-295.7603,-705.17596,-9999.001,-269.7633,-25.89211,0.26276374,0.3089558,-8.348622,0.41460088,0.4672574,0.5128338,0.54521555,0.56692266,0.5791204,0.5675233,0.551477,0.5316747,0.5150893,0.49707565,0.47526556,0.4646851,0.45163995,0.4426584,0.4614154,0.46703056,0.46606684,0.47879285,0.5018919,0.50070465,-95.29679,-138.83891,-16.900133,-16.900112,-51.747757,-25.64661,-400.24124,0.50581586,-0.5596965,0.5594083,-0.58777314,0.612171,-0.24857894,0.49256712,-0.5122498,0.4057096
6,-79.30351,-79.33132,-0.0045701214,-555.5271,-79.35286,-79.33672,-158.67075,-237.9916,0.1272341,0.1812274,0.20051415,0.21897554,-79.11857,-317.1977,-555.2993,-872.7697,-1269.5789,-1745.7767,-1904.528,-2539.3948,-3412.3228,-4126.547,-4682.0454,-5713.6714,-6586.606,-9364.147,-9443.504,-9760.933,-9999.008,-9999.008,-9999.008,-7459.5786,-7062.8267,-7538.973,-7380.2305,-7618.339,-79.19321,-79.22938,0.09278061,-555.4105,-79.23288,-79.196075,-158.52078,-237.84703,0.26351637,0.2985087,0.31942964,0.3383132,-79.00984,-317.10596,-555.16437,-872.6216,-1269.4061,-1745.5973,-1904.3439,-2539.2505,-3412.206,-4126.4395,-4681.9404,-5713.5933,-6586.551,-9364.138,-9443.487,-9760.925,-9999.008,-9999.008,-9999.008,-7459.537,-7062.7817,-7538.9272,-7380.1846,-7618.297,-78.88365,-78.90312,0.4508755,-555.0799,-78.86521,-78.86211,-158.20474,-237.54227,0.53277194,0.5429517,0.56765467,0.6027248,-78.74196,-316.8192,-554.8957,-872.3356,-1269.1196,-1745.3043,-1904.0422,-2538.9307,-3411.9065,-4126.175,-4681.717,-5713.4243,-6586.421,-9364.116,-9443.483,-9760.921,-9999.008,-9999.008,-9999.008,-7459.4077,-7062.6377,-7538.8193,-7380.0474,-7618.204,-79.6625,-79.699196,-0.31851906,-555.67773,-79.51724,-79.470665,-158.77162,-238.1305,-0.07243594,-0.08742091,-0.11247355,-0.13328348,-79.577034,-317.64117,-555.60834,-873.01794,-1269.7867,-1745.902,-1904.6094,-2539.462,-3412.364,-4126.5684,-4682.072,-5713.731,-6586.6665,-9364.153,-9443.511,-9760.941,-9999.008,-9999.008,-9999.008,-7459.638,-7062.8213,-7538.9956,-7380.296,-7618.37,-79.17864,-79.20945,0.1317942,-555.381,-79.19547,-79.167564,-158.48773,-237.80928,0.28347754,0.31699523,0.35018966,0.3748186,-78.96535,-317.04092,-555.13696,-872.5887,-1269.3898,-1745.5897,-1904.3354,-2539.2239,-3412.1846,-4126.4297,-4681.9478,-5713.589,-6586.54,-9364.14,-9443.499,-9760.925,-9999.008,-9999.008,-9999.008,-7459.5264,-7062.768,-7538.924,-7380.172,-7618.293,0.5742996,-0.41932827,0.37036008,-0.5769739,-0.35646555,-0.44982046,0.43896982,-0.67420334,0.17765488
7,-191.35184,-164.06898,-82.141495,-273.40054,-0.18637592,-0.16647309,-27.464088,-27.420858,-0.04223856,0.0106421085,0.03423379,0.057142433,0.078680344,0.08582529,0.07835627,0.04466975,0.028915063,-27.313858,-109.311714,-136.65753,-191.29465,-218.63908,-573.8063,-983.6097,-1912.5043,-2759.4214,-4180.0386,-5791.862,-7676.8633,-9944.374,-9999.0,-191.36415,-382.58136,-218.67046,-655.7616,-1174.8555,-191.21603,-163.93903,-82.01343,-273.2447,-0.03592755,0.0046184575,-27.277245,-27.2614,0.1044354,0.13548346,0.1547682,0.17889489,0.1927496,0.19455929,0.21996862,0.20666888,0.20789705,-27.119383,-109.10931,-136.47844,-191.12897,-218.45587,-573.60815,-983.40546,-1912.307,-2759.233,-4179.883,-5791.761,-7676.8145,-9944.369,-9999.0,-191.16937,-382.4021,-218.48204,-655.5909,-1174.6989,-190.96545,-163.64629,-81.68189,-272.9069,0.3325638,0.3526972,-26.93779,-26.90306,0.44185492,0.4597416,0.48277202,0.520262,0.5364708,0.54693013,0.5541773,0.5535334,0.5559075,-26.747934,-108.70688,-136.01268,-190.64702,-217.97214,-573.1746,-983.0086,-1911.9437,-2758.9207,-4179.642,-5791.5967,-7676.7373,-9944.369,-9999.0,-190.81975,-382.05716,-218.1665,-655.3246,-1174.4637,-191.5396,-164.24432,-82.25773,-273.34332,-0.1288389,-0.08855285,-27.353062,-27.326942,-0.0013251939,-0.009882989,-0.037780426,-0.059829064,-0.15840308,-0.16632432,-0.071078435,-0.073021114,-0.073307596,-27.379522,-109.31829,-136.61386,-191.22624,-218.50784,-573.66125,-983.4665,-1912.336,-2759.2588,-4179.8853,-5791.773,-7676.8486,-9944.367,-9999.0,-191.53058,-382.71857,-218.9121,-656.0712,-1175.1139,-191.22923,-163.9406,-81.9891,-273.228,-0.010792058,0.018590182,-27.261763,-27.224693,0.12712367,0.16012563,0.19212075,0.21765473,0.24004732,0.25634032,0.25289407,0.24333145,0.2276834,-27.10923,-109.09502,-136.44217,-191.10231,-218.45256,-573.6374,-983.4117,-1912.2994,-2759.2388,-4179.899,-5791.7554,-7676.819,-9944.369,-9999.0,-191.16893,-382.39996,-218.48627,-655.5998,-1174.7166,0.44854355,-0.41933665,0.2523172,-0.5503637,-0.1178643,-0.42553413,0.32820165,-0.553809,0.37033492
8,-32.886375,-66.040634,-198.52034,-198.5462,0.12550014,-32.972443,0.14982799,-165.34555,-99.068146,0.31176215,-132.09506,0.36888725,0.38727662,0.39498812,0.37859833,0.33366913,0.3056341,0.2754456,0.229517,0.19468063,0.187373,0.15908039,0.14432937,0.1385726,0.13231309,0.13221437,-32.94485,0.17504,0.20077884,-132.21547,-330.87997,0.24426037,-3310.77,-9965.895,-9800.353,-9965.895,-32.77578,-65.92844,-198.41666,-198.41252,0.2672903,-32.802486,0.34423473,-165.17752,-98.912964,0.4521494,-131.95587,0.50340873,0.51237255,0.5075357,0.5171977,0.48765504,0.48015767,0.4498099,0.4163072,0.3606981,0.33783662,0.33014724,0.33915633,0.3431732,0.33876595,0.341389,-32.75117,0.35945183,0.35796496,-132.05687,-330.71774,0.41832227,-3310.6604,-9965.895,-9800.34,-9965.895,-32.503326,-65.62884,-198.0914,-198.07903,0.6101585,-32.506104,0.60791034,-164.92078,-98.690094,0.6442178,-131.76778,0.7001865,0.70994884,0.71449023,0.724647,0.7274379,0.7233923,0.73341966,0.7300508,0.738111,0.7399443,0.73726165,0.7290261,0.72419584,0.7197456,0.7289679,-32.38267,0.73047173,0.73612887,-131.7151,-330.3768,0.7232838,-3310.4375,-9965.895,-9800.332,-9965.895,-33.449825,-66.585175,-198.99667,-198.85448,-0.17900786,-33.254234,-0.10759152,-165.64816,-99.43711,-0.12960349,-132.59775,-0.1888373,-0.28031152,-0.2889679,-0.20180917,-0.19703902,-0.1836072,-0.15358715,-0.12630612,-0.10028071,-0.06997314,-0.029123725,-0.011026334,-0.014074117,-0.021915754,-0.02629522,-33.160892,-0.09047815,-0.12500887,-132.58861,-331.2593,-0.39380074,-3311.146,-9965.895,-9800.339,-9965.895,-32.752457,-65.90364,-198.37001,-198.37093,0.30682513,-32.775326,0.36549413,-165.13936,-98.88654,0.47500604,-131.92308,0.53799784,0.5548565,0.5630381,0.54684526,0.5234569,0.49368063,0.46491417,0.43370247,0.4011776,0.37869337,0.35533267,0.3364338,0.35764617,0.36510593,0.36320618,-32.734653,0.40012702,0.4022399,-132.01584,-330.6727,0.4432848,-3310.6404,-9965.895,-9800.34,-9965.895,0.56730795,-0.5455821,0.52434134,-0.65075797,-0.026815234,-0.40474686,0.5267494,-0.7536841,0.27351832
9,-7499.1436,-7499.1494,-9999.0,-9999.0,-9999.0,-9999.0,-7499.4717,-7499.462,-6666.2764,-6666.2573,-3333.0984,-3333.0718,-3333.0532,-0.1876047,-0.15577891,-0.15502912,-0.12981576,-0.09401711,-0.10645729,-0.10273373,-0.06711113,-0.054232847,-0.06919061,-0.079861134,-0.095423155,-0.124681935,-0.15252785,-0.19924812,-0.24028125,-833.4604,-1666.6809,-833.5027,-833.5134,-833.51776,-1666.7058,-1666.7166,-7499.095,-7499.1035,-9999.0,-9999.0,-9999.0,-9999.0,-7499.406,-7499.3916,-6666.209,-6666.1953,-3333.0427,-3332.9878,-3332.9675,-0.07713832,-0.052461676,-0.05542074,-0.037593998,-0.014805427,-0.0017316118,-0.0075354604,0.010666676,0.06288478,0.11329834,0.1076658,0.09193956,0.04104478,-0.009607349,-0.08044555,-0.14912283,-833.3602,-1666.553,-833.35486,-833.34174,-833.3417,-1666.5503,-1666.5516,-7499.1284,-7499.1406,-9999.0,-9999.0,-9999.0,-9999.0,-7499.2646,-7499.253,-6665.9805,-6665.982,-3332.8203,-3332.8044,-3332.7822,0.40396827,0.47148606,0.47058833,0.51589257,0.56362903,0.5878713,0.62144065,0.6489453,0.64738655,0.6455096,0.6209324,0.59824574,0.57630026,0.55541134,0.5303031,0.49352333,-832.8569,-1666.1499,-832.8574,-832.8459,-832.75793,-1666.0072,-1666.0254,-7499.3916,-7499.394,-9999.0,-9999.0,-9999.0,-9999.0,-7499.129,-7499.122,-6665.8516,-6665.8467,-3332.9565,-3332.9822,-3333.0684,0.03814909,0.13602854,0.09635364,0.083782285,0.07558565,0.07720554,0.07898183,0.08958334,0.109512135,0.11086937,0.09642194,0.078425236,0.07278177,0.07249024,0.053423993,0.05139221,-833.24115,-1666.5244,-833.33167,-833.2262,-833.31836,-1666.6223,-1666.6058,-7499.1123,-7499.119,-9999.0,-9999.0,-9999.0,-9999.0,-7499.3975,-7499.381,-6666.199,-6666.181,-3333.0164,-3332.9854,-3332.952,-0.01358076,0.0058713458,0.014846827,0.025221538,0.04363828,0.05490025,0.070250094,0.08881002,0.09307867,0.08449744,0.11595528,0.112638965,0.0720769,0.0203579,-0.007244829,-0.08689335,-833.307,-1666.5188,-833.31,-833.3008,-833.2871,-1666.4888,-1666.499,-0.31380817,-0.36316723,0.11603497,-0.29985127,0.69089526,-0.4523103,0.007282451,-0.4628068,0.34030986
